RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
(SOUTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;60.00;;
LUNA ST   (NORTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;60.00;;
(SOUTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;45.00;;
PROPOSED BARANGAY RD;NORTH OF AGLIPAY ST;RR;100.00;;
RANILAS ST;ROXAS ST - AGLIPAY ST;RR;100.00;;
RANILAS ST;ROXAS ST - TOLETE ST;RR;85.00;;
RANILAS ST;TOLETE ST - LUNA ST;RR;60.00;;
QUEZON ST;ROXAS ST - AGLIPAY ST;RR;100.00;;
QUEZON ST;ROXAS ST - TOLETE ST;RR;85.00;;
QUEZON ST;TOLETE ST - LUNA ST;RR;60.00;;
AGCAOILI ST;ROXAS ST - AGLIPAY ST;RR;100.00;;
AGCAOILI ST;ROXAS ST - TOLETE ST;RR;85.00;;
AGCAOILI ST;TOLETE ST - LUNA ST;RR;60.00;;
RIZAL ST;ROXAS ST - BURGOS ST;RR;100.00;;
RIZAL ST;BURGOS ST-AGLIPAY ST;CR;110.00;;
RIZAL ST;ROXAS ST - TOLETE ST;RR;85.00;;
RIZAL ST;TOLETE ST- LUNA ST;RR;60.00;;
NATIONAL HIWAY;BURGOST ST- AGLIPAY ST;RR;100.00;;
NATIONAL HIWAY;BURGOS ST- TOLETE ST;RR;85.00;;
NATIONAL HIWAY;TOLETE ST - LUNA ST;RR;60.00;;
CERIA ST;BURGOST ST- AGLIPAY ST;RR;100.00;;
CERIA ST;BURGOS ST- TOLETE ST;RR;85.00;;
CERIA ST;TOLETE ST - LUNA ST;RR;55.00;;
ALL OTHER BARANGAY ROADS & INTERIORS ROADS;;RR;45.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;VARIOUS;;;;
BESSANG;ALONG ALL BARANGAY ROADS;RR;35.00;;
BESSANG;INTERIOR LOTS;RR;30.00;;
BINUBUNGAN;ALONG ALL BARANGAY ROADS;RR;10.00;;
BINUBUNGAN;INTERIOR LOTS;RR;8.00;;
BULO;ALONG ALL BARANGAY ROADS;RR;25.00;;
BULO;INTERIOR LOTS;RR;25.00;;
BUROT;ALONG ALL BARANGAY ROADS;RR;10.00;;
BUROT;INTERIOR LOTS;RR;8.00;;
CAPAGARAN;ALONG ALL BARANGAY ROADS;RR;10.00;;
CAPAGARAN;INTERIOR ROADS & LOTS;RR;8.00;;
CATARATAN;ALONG ALL BARANGAY ROADS;RR;10.00;;
CATARATAN;INTERIOR ROADS & LOTS;RR;8.00;;
DAGUPAN;ALONG NATIONAL HIWAY;RR;40.00;;
DAGUPAN;OTHER BARANGAY ROAD;RR;35.00;;
DAGUPAN;INTERIOR ROADS & LOTS;RR;30.00;;
DALAYAP;ALONG BARANGAY ROADS;RR;10.00;;
DALAYAP;INTERIOR LOTS;RR;8.00;;
DAAN-ILI;ALONG NATIONAL HIWAY;RR;40.00;;
DAAN-ILI;OTHER BARANGAY ROADS;RR;35.00;;
DAAN-ILI;INTERIOR LOTS;RR;30.00;;
GAGADDANGAN;BARANAGAY ROADS;RR;10.00;;
GAGADDANGAN;INTERIOR LOTS;RR;8.00;;
IRINGAN;ALONG NATIONAL ROADS;RR;30.00;;
IRINGAN;OTHER BARANGAY ROADS;RR;25.00;;
IRINGAN;INTERIOR LOTS/ROADS;RR;20.00;;
KAPANNIKIAN NORTE;ALONG BARANGAY ROADS;RR;10.00;;
KAPANNIKIAN NORTE;INTERIOR LOTS/ROADS;RR;8.00;;
BARANGAY :  KAPANNIKIAN SUR;ALONG BARANGAY ROADS;RR;10.00;;
BARANGAY :  KAPANNIKIAN SUR;INTERIOR LOTS/ROADS;RR;8.00;;
LABBEN;ALONG BARANGAY ROADS;RR;35.00;;
LABBEN;INTERIOR ROADS;RR;30.00;;
LABBEN;INTERIOR LOT;RR;25.00;;
MATUCAY;ALONG NATIONAL ROAD;RR;30.00;;
MATUCAY;OTHER BARANGAY ROADS;RR;25.00;;
MATUCAY;INTERIOR LOTS/ROADS;RR;20.00;;
MALUYO;ALONG BARANGAY ROADS;RR;30.00;;
MALUYO;INTERIOR LOTS/ROADS;RR;25.00;;
MAPURAO;ALONG BARANGAY ROADS;RR;10.00;;
MAPURAO;INTERIOR LOTS/ROADS;RR;8.00;;
NAGATTATAN;ALONG BARANGAY ROADS;RR;10.00;;
NAGATTATAN;INTERIOR LOTS/ROADS;RR;8.00;;
SAN JUAN;ALONG BARANGAY ROADS;RR;10.00;;
SAN JUAN;INTERIOR LOTS/ROADS;RR;8.00;;
SILAGIN;ALONG BARANGAY ROADS;RR;10.00;;
SILAGIN;INTERIOR LOTS/ROADS;RR;8.00;;
TAMBULI;ALONG BARANGAY ROADS;RR;10.00;;
TAMBULI;INTERIOR LOTS/ROADS;RR;8.00;;
TUBEL;ALONG BARANGAY ROADS;RR;10.00;;
TUBEL;INTERIOR LOTS/ROADS;RR;8.00;;
UTAN;ALONG BARANGAY ROADS;RR;10.00;;
UTAN;INTERIOR LOTS/ROADS;RR;8.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;5.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY  :;CENTRO;;;;
NATIONAL ROAD;ROAD TO CEMETERY - BRGY CALAMAGUI BOUNDARY;CR;85.00;;
NATIONAL ROAD;RD TO CEMETERY- DICHOSO ST;RR;80.00;;
NATIONAL ROAD;DICHOSO ST-BGY CALAMAGUI BDR;RR;80.00;;
NATIONAL ROAD;DICHOSO ST-BGY ANGUIRAY BDRY;RR;55.00;;
SAN RAFAEL ST;DICHOSO ST-BGY CALAMAGUI BDR;RR;50.00;;
ROAD TO CEMETERY;DICHOSO ST-DADDA;RR;50.00;;
ROAD TO CEMETERY;DICHOSO ST-BRY ANGUIRAY BDRY;RR;35.00;;
DICHOSO ST;SN RAFAEL ST-RD TO CEMETERY;RR;50.00;;
SAN PEDRO ST;SN RAFAEL ST- RD TO CEMETERY;RR;50.00;;
SANTO DOMINGO ST;SN RAFAEL ST-RD TO CEMETERY;RR;50.00;;
SAN ANDRES ST;NATIONAL RD-RD TO CEMETERY;RR;50.00;;
ROAD TO DADDA;RD TO CEMETERY - BLISS SITE;RR;25.00;;
ABOLO;BARANGAY ROAD;RR;10.00;;
AGUIRIT;BARANGAY ROAD;RR;10.00;;
ALITUNTUNG;BARANGAY ROAD;RR;10.00;;
ANNABUCULAN;BARANGAY ROAD;RR;10.00;;
ANNAFATAN;PROVINCIAL ROAD;RR;10.00;;
ANNAFATAN;BARANGAY ROAD;RR;5.00;;
ANQUIRAY;NATIONAL ROAD;RR;20.00;;
ANQUIRAY;BARANGAY ROAD;RR;10.00;;
BABAYUAN;NATIONAL ROAD;RR;15.00;;
BABAYUAN;BARANGAY ROAD;RR;10.00;;
BACCUIT;PROVINCIAL ROAD;RR;10.00;;
BACCUIT;BARANGAY ROAD;RR;5.00;;
BACRING;PROVINCIAL ROAD;RR;10.00;;
BACRING;BARANGAY ROAD;RR;5.00;;
BACULUD;BARANGAY ROAD;RR;15.00;;
BALAUINI;BARANGAY ROAD;RR;10.00;;
BAUAN;BARANGAY ROAD;RR;10.00;;
BAYABAT;BARANGAY ROAD;RR;10.00;;
CALAMAGUI;NATIONAL ROAD;RR;15.00;;
CALAMAGUI;BARANGAY ROAD;RR;10.00;;
CALINTAAN;BARANGAY ROAD;RR;10.00;;
CARATACAT;BARANGAY ROAD;RR;10.00;;
CASINGSINGAN NORTE;PROVINCIAL ROAD;RR;10.00;;
CASINGSINGAN NORTE;BARANGAY ROAD;RR;5.00;;
CASINGSINGAN SUR;PROVINCIAL ROAD;RR;10.00;;
CASINGSINGAN SUR;BARANGAY ROAD;RR;5.00;;
CATARAOAN;BARANGAY ROAD;RR;10.00;;
CONCEPCION;NATIONAL ROAD;RR;15.00;;
CONCEPCION;BARANGAY ROAD;RR;10.00;;
CORDOVA;PROVINCIAL ROAD;RR;15.00;;
CORDOVA;BARANGAY ROAD;RR;10.00;;
DADDA;BARANGAY ROAD;RR;10.00;;
DAFUNGANAY;BARANGAY ROAD;RR;10.00;;
DUGAYUNG;BARANGAY ROAD;RR;10.00;;
ESTEFANIA;NATIONAL ROAD;RR;15.00;;
ESTEFANIA;BARANGAY ROAD;RR;10.00;;
GABUT;BARANGAY ROAD;RR;10.00;;
GANGAOAN;BARANGAY ROAD;RR;10.00;;
GORAN;BARANGAY ROAD;RR;10.00;;
JURISDICTION;BARANGAY ROAD;RR;10.00;;
LA SUERTE;BARANGAY ROAD;RR;10.00;;
LOGUNG;BARANGAY ROAD;RR;10.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;VARIOUS;;;;
MAGOGOO;BARANGAY ROAD;RR;10.00;;
MANALO;BARANGAY ROAD;RR;10.00;;
MAROBBOB;BARANGAY ROAD;RR;10.00;;
MASICAL;BARANGAY ROAD;RR;10.00;;
MONTE ALEGRE;BARANGAY ROAD;RR;10.00;;
NABIALAN;BARANGAY ROAD;RR;10.00;;
NAGSABARAN;BARANGAY ROAD;RR;10.00;;
NANGALASAON;BARANGAY ROAD;RR;10.00;;
NANUCCAUAN;BARANGAY ROAD;RR;10.00;;
PACAC GRANDE;BARANGAY ROAD;RR;10.00;;
PACAC PEQUENO;PROVINCIAL ROAD;RR;10.00;;
PACAC PEQUENO;BARANGAY ROAD;RR;5.00;;
PALACU;BARANGAY ROAD;RR;8.00;;
PALAYAG;PROVINCIAL ROAD;RR;10.00;;
PALAYAG;BARANGAY ROAD;RR;5.00;;
TANA;BARANGAY ROAD;RR;10.00;;
UNAG;BARANGAY ROAD;RR;10.00;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;8.50;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;3.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;APARRI;;;;
BARANGAY  :;CENTRO;;;;
RIZAL ST. (NORTH & SOUTH SIDE);MH DEL PILAR ST-DE RIVERA ST;CR;700.00;;
(NORTH & SOUTH SIDE);MAGSAYSAY ST-M H PILAR ST;CR;600.00;;
(NORTH & SOUTH SIDE);DE RIVERA ST - ALVARADO ST;CR;600.00;;
(NORTH & SOUTH SIDE);ENRILE ST-MAGSAYSAY ST;RR;550.00;;
(NORTH & SOUTH SIDE);GEN LUNA ST- ENRILE ST;RR;450.00;;
(NORTH & SOUTH SIDE);J P CARREON ST - GEN LUNA ST;RR;350.00;;
(NORTH & SOUTH SIDE);DIEGO SILANG ST-J.P CARREON;RR;250.00;;
MACANAYA ST (WEST & EAST SIDE);APPAGONAN CREEK-RIZAL ST;CR;700.00;;
MACANAYA ST (NORTH & SOUTH SIDE);RIZAL ST- QUIRINO ST;RR;550.00;;
(WEST & EAST SIDE);QUIRINO ST-QUEZON &ROXAS ST;RR;450.00;;
DE RIVERA ST (WEST & EAST SIDE);RIZAL ST- QUIRINO ST;CR;600.00;;
(WEST & EAST SIDE);QUIRINO ST-QUEZON ST;RR;450.00;;
(WEST & EAST SIDE);QUEZON ST-ROXAS ST;RR;450.00;;
M.H DEL PILAR ST (WEST & EAST SIDE);RIZAL ST - QUIRINO ST;RR;550.00;;
(WEST & EAST SIDE);QUIRINO ST-QUEZON ST;RR;450.00;;
(WEST & EAST SIDE);QUEZON ST - ROXAS ST;RR;350.00;;
MAGSAYSAY ST (WEST & EAST SIDE);RIZAL ST- QUIRINO ST;RR;550.00;;
MAGSAYSAY ST (WEST & EAST SIDE);QUIRINO ST - QUEZON ST;RR;550.00;;
(WEST & EAST SIDE);QUEZON ST- ROXAS ST;RR;450.00;;
QUEZON ST (NORTH & SOUTH SIDE);GEN LUNA ST-MAGSAYSAY ST;RR;550.00;;
(NORTH & SOUTH SIDE);MAGSAYSAY ST-DE RIVERA ST;RR;450.00;;
QUIRINO ST (NORTH & SOUTH SIDE);MAGSAYSAY ST- ALVARADO ST;RR;550.00;;
(NORTH & SOUTH SIDE);ENRILE ST-MAGSAYSAY ST;RR;450.00;;
(NORTH & SOUTH SIDE);J.P CARREON ST- ENRILE ST;RR;350.00;;
QUIRINO ST (NORTH & SOUTH SIDE);DIEGO SILANG ST-JP CARREON;RR;250.00;;
ENRILE ST ( WEST & EAST SIDE);MABINI ST-QUEZON ST;RR;450.00;;
ALVARADO ST (WEST SIDE);CR. RIZAL ST- CR. QUIRINO;RR;550.00;;
GEN LUNA ST (WEST & EAST SIDE);QUIRINO ST-QUEZON ST;RR;450.00;;
(WEST & EAST SIDE);MABINI ST - QUIRINO ST;RR;350.00;;
J.P. CARREON ST ( WEST & EAST SIDE);MABINI ST-QUEZON ST;RR;350.00;;
ROXAS ST (SOUTH SIDE);MAGSAYSAY ST- ALVARADO ST;RR;350.00;;
DIEGO SILANG ST (WEST & EAST SIDE);MABINI ST- J.P CARREON ST;RR;350.00;;
