RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
NEBAB ST;INTERIOR LOTS;RR;25.00;;
J. P RIZAL ST;JUNE 5TH - PERALTA ST;CR;35.00;;
J. P RIZAL ST;PERALTA ST- ADUCAYEA ST.;CR;45.00;;
CLAVERIA ST;JUNE 5TH - PERALTA ST;CR;35.00;;
CLAVERIA ST;PERALTA ST- ADUCAYEA ST.;CR;55.00;;
ADUCAYEA ST.;GONZAGA ST - RIZAL ST;CR;45.00;;
ADUCAYEA ST.;RIZAL ST - CLAVERIA ST;CR;55.00;;
PERALTA ST;GONZAGA ST - CLAVERIA ST;CR;45.00;;
PERALTA ST;GONZAGA ST - CLAVERIA ST;;;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY  :;CENTRO II;;;;
ADUCAYEA ST.;VELADA ST-GEN LUNA ST;RR;35.00;;
ADUCAYEA ST.;GEN LUNA ST - RICEFIELD;RR;45.00;;
PERALTA ST;VILADO ST - NEBAB ST;RR;35.00;;
PERALTA ST;BURGOS ST - NEBAB ST;RR;45.00;;
AUGUST 13 ST;VELADO ST- GEN LUNA ST;RR;35.00;;
AUGUST 13 ST;GEN LUNA ST-NEBAB ST;RR;45.00;;
JUNE 5TH ST;VELADO ST - GEN LUNA ST;RR;35.00;;
JUNE 5TH ST;GEN LUNA ST -NEBAB ST;RR;45.00;;
VELADO ST;ADUCAYEA ST.- JUNE 4TH ST.;RR;35.00;;
AGUINALDO ST;ADUCAYEA ST.-PERALTA ST.;RR;45.00;;
AGUINALDO ST;PERALTA ST-JUNE 5TH ST;RR;35.00;;
GEN LUNA ST;ADUCAYEA ST.-AUG 13TH ST.;RR;25.00;;
GEN LUNA ST;AUGUST ST 13 ST - JUNE 5TH;RR;35.00;;
ZAMORA ST;ADUCAYEA ST.- JUNE 5TH ST.;RR;35.00;;
BURGOS ST;ADUCAYEA ST.- JUNE 5TH ST.;RR;45.00;;
GONZAGA ST;ADUCAYEA ST.- JUNE 5TH ST.;RR;45.00;;
GEN CLAVERIA ST;ADUCAYEA ST.- JUNE 5TH ST.;RR;45.00;;
DACUYCOY ST;NEBAB ST- GONZAGA ST;RR;45.00;;
DACUYCOY ST;GONZAGA ST- BURGOS ST;RR;35.00;;
DACUYCOY ST;BURGOS ST- DUPAYA BLVD.;RR;25.00;;
AGBAYANI ST EASTSIDE;NEBAB ST- GONZAGA ST;RR;45.00;;
AGBAYANI ST EASTSIDE;GONZAGA ST- BURGOS ST;RR;35.00;;
AGBAYANI ST EASTSIDE;BURGOS ST- DUPAYA BLVD.;RR;25.00;;
AGBAYANI ST EASTSIDE;INTERIOR LOTS;RR;20.00;;
J RIZAL ST;ADUCAGEN ST.-JOSUE ST.;CR;45.00;;
DUPAYA BLVD.;ADUCAGENA ST.-AGBAYANI ST.;RR;25.00;;
GEN. AGUINALDO ST.;ADUCAGENA ST.-AGBAYANI ST.;RR;25.00;;
A LUNA ST;ADUCAGENA ST.-AGBAYANI ST.;RR;25.00;;
ZAMORA ST;ADUCAGENA ST.-AGBAYANI ST.;RR;25.00;;
BURGOS ST;ADUCAGENA ST.-AGBAYANI ST.;RR;35.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY  :;CENTRO 3;;;;
GONZAGA ST;NORTH ADUCAGENA ST.-AGBAYANI;RR;35.00;;
GONZAGA ST;SOUTH ADUCAGENA ST.-AGBAYANI;RR;45.00;;
CLAVERIA ST;ADUCAGENA ST.-AGBAYANI ST.;CR;55.00;;
PROVINCIAL ST;ADUCAGENA ST.-AGBAYANI ST.;RR;45.00;;
AZCARRAGA ST;ADUCAGENA ST.-AGBAYANI ST.;RR;45.00;;
M. NEBAB ST;ADUCAGENA ST.-AGBAYANI ST.;RR;45.00;;
ADUCAYEA ST.;NEBAB ST- GONZAGA SR;RR;45.00;;
ADUCAYEA ST.;GONZAGA ST- BURGOS ST;RR;35.00;;
ADUCAYEA ST.;BURGOS ST- DUPAYA BLVD;RR;25.00;;
JOSUE ST;NEBAB ST- GONZAGA SR;RR;45.00;;
JOSUE ST;GONZAGA ST- BURGOS ST;RR;35.00;;
JOSUE ST;BURGOS ST- DUPAYA BLVD;RR;25.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY  :;CENTRO IV;;;;
GEN GONZAGA ST;AGBAYANI ST-CABICUNGAN RIVER;RR;25.00;;
CLAVERIA ST;AGBAYANI ST-CABICUNGAN RIVER;RR;25.00;;
J.P RIZAL ST;AGBAYANI ST-CABICUNGAN RIVER;RR;25.00;;
AZCARRAZA ST;AGBAYANI ST-RODRIGUEZ;RR;25.00;;
NEBAB ST;AGBAYANI ST - END OF ROAD;RR;25.00;;
AGBAYANI ST;NEBAB ST - GONZAGA ST;RR;45.00;;
GEMANA ST;NEBAB ST - GONZAGA ST;RR;25.00;;
AGRA ST;NEBAB ST - GONZAGA ST;RR;25.00;;
RODRIGUEZ ST;RIZAL ST - GONZAGA ST;RR;25.00;;
RODRIGUEZ ST;ALL OTHER BARANGAY ROAD;RR;25.00;;
RODRIGUEZ ST;INTERIOR LOTS;RR;20.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY  :;CENTRO 5;;;;
A. LUNA ST.;AGBAYANI ST.-CABACUNGAN;RR;25.00;;
ZAMORA ST;AGBAYANI RIVER - CAB. RIVER;RR;25.00;;
ZAMORA ST;ALL OTHER BARANGAY ROAD;RR;25.00;;
ZAMORA ST;INTERIOR LOTS;RR;20.00;;
CENTRO 6;ALL BARANGAY ROADS;RR;25.00;;
CENTRO 6;INTERIOR LOTS;RR;20.00;;
CENTRO 7;NATIONAL & ALL BARANGAY RDS;RR;25.00;;
CENTRO 7;INTERIOR LOTS;RR;20.00;;
CENTRO 8;NATIONAL & ALL BARANGAY RDS;RR;25.00;;
CENTRO 8;INTERIOR LOTS;RR;20.00;;
ALIMOAN;ALL BARANGAY ROADS;RR;20.00;;
ALIMOAN;INTERIOR LOTS;RR;15.00;;
CATARAOAN NORTE;ALL BARANGAY ROADS;RR;20.00;;
CATARAOAN NORTE;INTERIOR LOTS;RR;15.00;;
CATARAOAN SUR;ALL BARANGAY ROADS;RR;20.00;;
CATARAOAN SUR;INTERIOR LOTS;RR;15.00;;
BILIBIGAO;ALL BARANGAY ROADS;RR;20.00;;
BILIBIGAO;INTERIOR LOTS;RR;15.00;;
BUENAVISTA;ALL BARANGAY ROADS;RR;20.00;;
BUENAVISTA;INTERIOR LOTS;RR;15.00;;
CADCADIR EAST;ALL BARANGAY ROADS;RR;20.00;;
CADCADIR EAST;INTERIOR LOTS;RR;15.00;;
CADCADIR WEST;ALL BARANGAY ROADS;RR;20.00;;
CADCADIR WEST;INTERIOR LOTS;RR;15.00;;
CAPANNIKIAN;ALL BARANGAY ROADS;RR;20.00;;
CAPANNIKIAN;INTERIOR LOTS;RR;15.00;;
CULAO;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
CULAO;INTERIOR LOTS;RR;15.00;;
DIBALIO;ALL BARANGAY ROADS;RR;20.00;;
DIBALIO;INTERIOR LOTS;RR;15.00;;
LEANO;ALL BARANGAY ROADS;RR;20.00;;
LEANO;INTERIOR LOTS;RR;15.00;;
KILKILING;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
KILKILING;INTERIOR LOTS;RR;15.00;;
LABLABIG;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
LABLABIG;INTERIOR LOTS;RR;15.00;;
LUZON;ALL BARANGAY ROADS;RR;20.00;;
LUZON;INTERIOR LOTS;RR;15.00;;
MABNANG;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
MABNANG;INTERIOR LOTS;RR;15.00;;
MAGDALENA;ALL BARANGAY ROADS;RR;20.00;;
MAGDALENA;INTERIOR LOTS;RR;15.00;;
MALILITAO;ALL BARANGAY ROADS;RR;20.00;;
MALILITAO;INTERIOR LOTS;RR;15.00;;
NAGSABARAN;ALL BARANGAY ROADS;RR;20.00;;
NAGSABARAN;INTERIOR LOTS;RR;15.00;;
PATA EAST;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
PATA EAST;INTERIOR LOTS;RR;15.00;;
PATA WEST;NATIONAL & ALL BARANGAY RDS;RR;20.00;;
PATA WEST;INTERIOR LOTS;RR;15.00;;
PINAS;ALL BARANGAY ROADS;RR;20.00;;
PINAS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY :;VARIOUS;;;;
SAN ANTONIO;ALL BARANGAY ROADS;RR;20.00;;
SAN ANTONIO;INTERIOR LOTS;RR;15.00;;
SAN ISIDRO;ALL BARANGAY ROADS;RR;20.00;;
SAN ISIDRO;INTERIOR LOTS;RR;15.00;;
SANTIAGO;ALL BARANGAY ROADS;RR;20.00;;
SANTIAGO;INTERIOR LOTS;RR;15.00;;
SAN VICENTE;ALL BARANGAY ROADS;RR;20.00;;
SAN VICENTE;INTERIOR LOTS;RR;15.00;;
SANTO NINO;ALL BARANGAY ROADS;RR;20.00;;
SANTO NINO;INTERIOR LOTS;RR;15.00;;
SANTO TOMAS;ALL BARANGAY ROADS;RR;20.00;;
SANTO TOMAS;INTERIOR LOTS;RR;15.00;;
SURNGOT;ALL BARANGAY ROADS;RR;20.00;;
SURNGOT;INTERIOR LOTS;RR;15.00;;
TABBUGAN;ALL BARANGAY ROADS;RR;20.00;;
TABBUGAN;INTERIOR LOTS;RR;15.00;;
TAGGAT NORTE;ALL BARANGAY ROADS;RR;20.00;;
TAGGAT NORTE;INTERIOR LOTS;RR;15.00;;
TAGGAT SUR;ALL BARANGAY ROADS;RR;20.00;;
TAGGAT SUR;INTERIOR LOTS;RR;15.00;;
UNION;ALL BARANGAY ROADS;RR;20.00;;
UNION;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY :;ALL  BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;7.00;;
ALL LOTS;;A8;3.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;ENRILE;;;;
BARANGAY  :;CENTRO;;;;
RIZAL ST;QUEZON ST-GUZMAN ST;RR;65.00;;
RIZAL ST;BABARAN ST-QUEZON ST;CR;75.00;;
RIZAL ST;BUTEL SITE- QUEZON ST;RR;65.00;;
ARELLANO ST;QUEZON ST-GUZMAN ST;RR;55.00;;
PAUIG ST;QUEZON ST-GUZMAN ST;RR;55.00;;
PAUIG ST;CUMIGAD ST-QUEZON ST;RR;55.00;;
PAGULAYAN ST;QUEZON ST-ROXAS ST;RR;55.00;;
PAGULAYAN ST;BABARAN ST- QUEZON ST;RR;55.00;;
PALATTAO ST;QUEZON ST-GUZMAN ST;RR;55.00;;
PALATTAO ST;AGUINALDO ST-QUEZON ST;RR;55.00;;
PALATTAO ST;BABARAN ST- AGUINALDO ST;RR;45.00;;
CARAG ST;QUEZON ST-GUZMAN ST;RR;55.00;;
CARAG ST;AGUINALDO ST-QUEZON ST;RR;55.00;;
CARAG ST;BABARAN ST-AGUINALDO ST;RR;45.00;;
CARAG ST;BABARAN ST- QUEZON ST;RR;55.00;;
CARAG ST;ABBANG LAKE - BABARAN ST;RR;45.00;;
QUEZON ST;CARAG ST - ARELLANO ST;RR;55.00;;
QUEZON ST;RIZAL ST - CARAG ST;RR;55.00;;
QUEZON ST;CARAG ST - TURINGAN ST;RR;55.00;;
QUEZON ST;TURINGAN ST - ABBAG LAKE;RR;45.00;;
QUEZON ST;CARAG ST - CAMACAM ST;RR;55.00;;
QUEZON ST;CAMACAM ST - ABBAG LAKE;RR;45.00;;
ROXAS ST;CARAG ST - ARELLANO ST;RR;55.00;;
ROXAS ST;CARAG ST - CAMACAM ST;RR;55.00;;
ROXAS ST;CAMACAM ST - TURINGAN ST;RR;45.00;;
MANAUIS ST;RIZAL ST-ARELLANO ST;RR;55.00;;
GUZMAN ST;CARAG ST - ROAD GOING  TO EASTERN BRGY;RR;55.00;;
GUZMAN ST;CARAG ST- CAMACAM ST.;RR;55.00;;
BABARAN ST;RIZAL ST- PAGULAYAN ST;RR;55.00;;
BABARAN ST;CARAG ST- BUNAGAN ST;RR;55.00;;
BABARAN ST;BUNAGAN ST - TURINGAN ST;RR;45.00;;
AGUINALDO ST;RIZAL ST-CARAG ST;RR;55.00;;
AGUINALDO ST;CARAG ST- CAMACAM ST.;RR;55.00;;
AGUINALDO ST;CAMACAN ST-TURINGAN ST;RR;45.00;;
AGUINALDO ST;TURINGAN ST-CEMETERY;RR;35.00;;
CUMIGAD ST;RIZAL ST-CARAG ST;RR;55.00;;
CUMIGAD ST;CARAG ST- TURINGAN ST;RR;55.00;;
CUMIGAD ST;TURINGAN ST- ABBAG LAKE;RR;45.00;;
BUNAGAN ST;BABARAN ST-QUEZON ST;RR;55.00;;
BUNAGAN ST;ABBAG LAKE- BABARAN ST;RR;45.00;;
BUNAGAN ST;QUEZON ST- GUZMAN ST;RR;55.00;;
CAMACAM ST;AGUINALDO ST-QUEZON ST;RR;55.00;;
CAMACAM ST;BABARAN ST-AGUINALDO ST;RR;45.00;;
CAMACAM ST;QUEZON ST-GUZMAN ST;RR;45.00;;
TURINGAN ST;BABARAN ST-QUEZON ST;RR;45.00;;
TURINGAN ST;QUEZON ST-ROXAS ST;RR;45.00;;
MAGSAYSAY ST;BUNAGAN ST- TURINGAN ST;RR;35.00;;
MAGSAYSAY ST;BUNAGAN ST- TURINGAN ST;;;;
CITY/MUNICIPALITY:;ENRILE;;;;
BARANGAY :;VARIOUS;;;;
ALIBAGO;PROVINCIAL ROAD;RR;25.00;;
ALIBAGO;OLD PROVINCIAL ROAD;RR;20.00;;
ALIBAGO;BARANGAY ROAD;RR;15.00;;
BATU;BARANGAY ROAD;RR;15.00;;
DIVISORIA;BARANGAY ROAD;RR;15.00;;
INGA;PROVINCIAL ROAD;RR;20.00;;
INGA;BARANGAY ROAD;RR;15.00;;
LANNA;PROVINCIAL ROAD;RR;20.00;;
LANNA;BARANGAY ROAD;RR;15.00;;
LEMU;PROVINCIAL ROAD;RR;20.00;;
LEMU;BARANGAY ROAD;RR;15.00;;
LIWAN NORTE;BARANGAY ROAD;RR;15.00;;
LIWAN SUR;BARANGAY ROAD;RR;15.00;;
MADDARULUG NORTE;NATIONAL ROAD;RR;35.00;;
MADDARULUG NORTE;BARANGAY ROAD;RR;25.00;;
MADDARULUG SUR;NATIONAL ROAD;RR;25.00;;
MADDARULUG SUR;BARANGAY ROAD;RR;15.00;;
MAGALALAG;PROVINCIAL ROAD;RR;20.00;;
MAGALALAG;BARANGAY ROAD;RR;15.00;;
MARACURRU;PROVINCIAL ROAD;RR;20.00;;
MARACURRU;BARANGAY ROAD;RR;15.00;;
ROMA NORTE;BARANGAY ROAD;RR;15.00;;
ROMA SUR;NATIONAL ROAD;RR;15.00;;
ROMA SUR;BARANGAY ROAD;RR;8.00;;
SAN ANTONIO;BARANGAY ROAD;RR;15.00;;
CITY/MUNICIPALITY:;ENRILE;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.50;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;3.00;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;6.00;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;GATTARAN;;;;
BARANGAY  :;CENTRO;;;;
MAHARLIKA HIWAY;PETRON ST- NPHA BVLVD.;CR;75.00;;
MAHARLIKA HIWAY;AGUINALDO ST- LIBAN ST;RR;65.00;;
MAHARLIKA HIWAY;NPHA BLVD.- BARANGAY BNDRY;RR;55.00;;
MAHARLIKA HIWAY;BRGY BNDERY-CALLE COMMERCIO;RR;50.00;;
RIZAL ST;AGUINALDO ST-LIBAN ST;RR;55.00;;
CALLE COMMERCIO;RIZAL ST- REAL ST;RR;55.00;;
OSMENA ST;RIZAL ST- REAL ST;RR;55.00;;
BURGOS ST;RIZAL ST- REAL ST;RR;55.00;;
BURGOS ST;BAGUMBAYAN ST - GOING E.WARD;RR;40.00;;
LIBAN ST;RIZAL ST- REAL ST;RR;55.00;;
LIBAN ST;RIVERBANK- AGATEP ST;RR;30.00;;
NPHA BOULEVARD;RIVER BANK-NATIONAL HIWAY;RR;50.00;;
;BAGUMBAYAN ST-GOING E.WARD;RR;45.00;;
BAGUMBAYAN ST;BARANGAY BNDERY - MANDAC ST;RR;50.00;;
MANDAC ST;NATIONAL HIWAY-BAGUMBAYAN ST;RR;50.00;;
LUNA ST;SOUTHSIDE GOING NAT'L HIWAY;RR;45.00;;
AGUIGUICAN;NATIONAL ROAD;RR;40.00;;
AGUIGUICAN;OTHER BARANGAY ROADS;RR;35.00;;
BANGATAN;PROVINCIAL ROAD;RR;35.00;;
BANGATAN;OTHER BARANGAY ROADS;RR;35.00;;
BARACCAOIT;NATIONAL ROAD;RR;40.00;;
BARACCAOIT;OTHER BARANGAY ROADS;RR;35.00;;
BARAOIDAN;PROVINCIAL ROAD;RR;35.00;;
BARAOIDAN;OTHER BARANGAY ROADS;RR;35.00;;
BARBARIT;ALL BARANGAY ROAD;RR;35.00;;
BASAO;ALL BARANGAY ROAD;RR;35.00;;
CABAYO;NATIONAL ROAD;RR;40.00;;
CABAYO;OTHER BARANGAY ROADS;RR;35.00;;
CALAOAGAN BASSIT;NATIONAL ROAD;RR;40.00;;
CALAOAGAN BASSIT;OTHER BARANGAY ROADS;RR;35.00;;
CALAOAGAN DACKEL;NATIONAL ROAD;RR;40.00;;
CALAOAGAN DACKEL;OTHER BARANGAY ROADS;RR;35.00;;
CAPIDDIGAN;PROVINCIAL ROAD;RR;35.00;;
CAPIDDIGAN;ALL BARANGAY ROADS;RR;35.00;;
CAPISSAYAN NORTE;NATIONAL ROAD;RR;40.00;;
CAPISSAYAN NORTE;OTHER BARANGAY ROADS;RR;35.00;;
CAPISSAYAN SUR;ALL BARANGAY ROAD;RR;35.00;;
CASICALLAN NORTE;NATIONAL ROAD;RR;40.00;;
CASICALLAN NORTE;OTHER BARANGAY ROADS;RR;35.00;;
CASICALLAN SUR;NATIONAL ROAD;RR;40.00;;
CASICALLAN SUR;OTHER BARANGAY ROADS;RR;35.00;;
CULLIT;NATIONAL ROAD;RR;40.00;;
;OTHER BARANGAY ROADS;RR;35.00;;
CUMAO;NATIONAL ROAD;RR;40.00;;
CUMAO;OTHER BARANGAY ROADS;RR;35.00;;
CUNIG;PROVINCIAL ROAD;RR;35.00;;
CUNIG;OTHER BARANGAY ROADS;RR;35.00;;
DUMMUN;NATIONAL ROAD;RR;40.00;;
DUMMUN;OTHER BARANGAY ROADS;RR;35.00;;
GANZANO;NATIONAL ROAD;RR;40.00;;
GANZANO;OTHER BARANGAY ROADS;RR;35.00;;
GUISING;NATIONAL ROAD;RR;40.00;;
GUISING;OTHER BARANGAY ROADS;RR;35.00;;
L. ADVIENTO;NATIONAL ROAD;RR;45.00;;
L. ADVIENTO;OTHER BARANGAY ROADS;RR;45.00;;
LANGGAN;ALL BARANGAY ROADS;RR;35.00;;
LAPOGAN;NATIONAL ROAD;RR;40.00;;
LAPOGAN;OTHER BARANGAY ROADS;RR;35.00;;
MABUNO;ALL BARANGAY ROADS;RR;35.00;;
NABACCAYAN;NATIONAL ROAD;RR;65.00;;
NABACCAYAN;OTHER BARANGAY ROADS;RR;55.00;;
CITY/MUNICIPALITY:;GATTARAN;;;;
BARANGAY :;VARIOUS;;;;
NADDUNGAN;ALL BARANGAY ROADS;RR;35.00;;
NAGATUTUAN;NATIONAL ROAD;RR;40.00;;
NAGATUTUAN;OTHER BARANGAY ROADS;RR;35.00;;
NASSIPING;NATIONAL ROAD;RR;40.00;;
NASSIPING;OTHER BARANGAY ROADS;RR;35.00;;
NEWAGAC;NATIONAL ROAD;RR;40.00;;
NEWAGAC;OTHER BARANGAY ROADS;RR;35.00;;
PALAGAO NORTE;NATIONAL ROAD;RR;40.00;;
PALAGAO NORTE;OTHER BARANGAY ROADS;RR;35.00;;
PALAGAO SUR;ALL BARANGAY ROADS;RR;35.00;;
PINA ESTE;ALL BARANGAY ROADS;RR;35.00;;
PINA WESTE;ALL BARANGAY ROADS;RR;35.00;;
SAN CARLOS;ALL BARANGAY ROADS;RR;35.00;;
SAN VICENTE A;ALL BARANGAY ROADS;RR;35.00;;
SAN VICENTE C;NATIONAL ROAD;RR;40.00;;
SAN VICENTE C;OTHER BARANGAY ROADS;RR;35.00;;
SIDEM;PROVINCIAL ROAD;RR;35.00;;
SIDEM;ALL BARANGAY ROADS;RR;35.00;;
SANTA ANA;PROVINCIAL ROAD;RR;35.00;;
SANTA ANA;ALL BARANGAY ROADS;RR;35.00;;
SANTA MARIA;NATIONAL ROAD;RR;40.00;;
SANTA MARIA;OTHER BARANGAY ROADS;RR;35.00;;
TAGUMAY;NATIONAL ROAD;RR;40.00;;
TAGUMAY;OTHER BARANGAY ROADS;RR;35.00;;
TAKIKI;NATIONAL ROAD;RR;40.00;;
TAKIKI;OTHER BARANGAY ROADS;RR;35.00;;
TAKIKI;PROVINCIAL ROAD;RR;35.00;;
TALIGAN;PROVINCIAL ROAD;RR;35.00;;
TALIGAN;OTHER BARANGAY ROADS;RR;35.00;;
TABUNGAN ESTE;ALL BARANGAY ROAD;RR;35.00;;
TABUNGAN WEST;NATIONAL ROAD;RR;40.00;;
TABUNGAN WEST;ALL BARANGAY ROAD;RR;35.00;;
CITY/MUNICIPALITY:;GATTARAN;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;3.00;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;6.50;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;GONZAGA;;;;
BARANGAYS  :;PROGRESSIVE, PARADISE, FLOURISHING SMART (POBLACION);;;;
GOVERNOR ADDURU RD TOWN CREEK TO BARANGAY;PARADISE BOUNDERY;RR;60.00;;
GOVERNOR ADDURU RD TOWN CREEK TO BARANGAY;ROAD TO STA. ANA;CR;90.00;;
F SASA ST;CREEK - LASAM ST;RR;35.00;;
F SASA ST;LASAM ST - MABINI ST;RR;45.00;;
C NUNEZ ST;CREEK - MABINI ST;RR;45.00;;
C DELA CRUZ ST;CREEK - BACLIG ST;RR;35.00;;
NAVAL ST;RIZAL ST - BACLIG ST;RR;35.00;;
NAVARRO ST;RIZAL ST-BACLIG ST;RR;35.00;;
NAVARRO ST;RIZAL ST- CREEK ST;RR;25.00;;
T CASTRO ST;MABINI ST- BACLIG ST;RR;45.00;;
T CASTRO ST;V DELA CRUZ ST-BACLIG ST;RR;45.00;;
TORRES ST;LASAM ST-BACLIG ST;RR;45.00;;
TORRES ST;LASAM ST- FT. BACLIG ST;RR;35.00;;
TORRES ST;FT. BACLIG - CREEK;RR;25.00;;
ZUNIEGA ST.;FT. BACLIG ST -;RR;35.00;;
ZUNIEGA ST.;FT. BACLIG ST - CREEK;RR;25.00;;
C. PERALTA ST;FT. BACLIG ST- L. BACLIG ST;RR;35.00;;
C. PERALTA ST;FT. BACLIG ST- CREEK;RR;25.00;;
D BALTAZAR ST;RIZAL ST - BACLIG ST;RR;35.00;;
IMPERIO ST;L BACLIG ST- RD TO STA. ANA;CR;85.00;;
FT. BACLIG ST;(E) ADDURU ROAD - MINANGA;RR;25.00;;
FT. BACLIG ST;(W) ADDURU ROAD - RD MINANGA;RR;35.00;;
LASAM ST;C. NUNEZ ST - TORRES ST;RR;45.00;;
LASAM ST;TORRES ST - PERALTA ST;RR;35.00;;
RIZAL ST;NAVARRO ST - C. NUNEZ ST;RR;35.00;;
RIZAL ST;C. NUNEZ ST- TORRES ST;RR;45.00;;
RIZAL ST;TORRES ST- LASAM ST;RR;35.00;;
MABINI ST;NAVARRO ST-V DELA CRUZ ST;RR;35.00;;
MABINI ST;V DELA CRUZ ST-TORRES  ST;RR;35.00;;
MABINI ST;TORRES ST- BALTAZAR ST;RR;35.00;;
BACLIG ST;NAVARRO ST - CASTRO ST;RR;35.00;;
BACLIG ST;CASTRO ST- TOREES ST;RR;45.00;;
BACLIG ST;TORRES ST - BALTAZAR;RR;25.00;;
SALVANERA ST;ADDURU ST - TORRES ST;RR;45.00;;
SALVANERA ST;TORRES ST - BALTAZAR ST;RR;35.00;;
SALVANERA ST;ALL OTHER BARANGAY ROADS;RR;25.00;;
AMUNITAN;NATIONAL ROAD;RR;25.00;;
AMUNITAN;ALL OTHER BARANGAY ROADS;RR;20.00;;
AMUNITAN;INTERIOR LOTS;RR;15.00;;
BATANGAN;PROVINCIAL ROADS;RR;25.00;;
BATANGAN;ALL OTHER BARANGAY ROADS;RR;20.00;;
BATANGAN;INTERIOR LOTS;RR;15.00;;
BAUA;NATIONAL ROAD;RR;25.00;;
BAUA;ALL OTHER BARANGAY ROADS;RR;20.00;;
BAUA;INTERIOR LOTS;RR;15.00;;
CABANBANAN NORTE;BARANGAY ROAD FROM CABANBANAS NORTE TO BRGY RD;RR;25.00;;
CABANBANAN NORTE;INTERIOR ROADS;RR;20.00;;
CABANBANAN NORTE;INTERIOR LOTS;RR;15.00;;
CABANBANAN SUR;NATIONAL ROADS;RR;25.00;;
CABANBANAN SUR;PROVINCIAL ROAD;RR;25.00;;
CABANBANAN SUR;OTHER BARANGAY ROADS;RR;20.00;;
CABANBANAN SUR;INTERIOR ROADS & LOTS;RR;15.00;;
CABIRAOAN;OTHER BARANGAY ROADS;RR;25.00;;
CABIRAOAN;INTERIOR BARANGAY ROADS;RR;20.00;;
CABIRAOAN;INTERIOR LOTS;RR;15.00;;
CALAYAN;NATIONAL ROAD;RR;35.00;;
CALAYAN;OTHER BARANGAY ROADS;RR;25.00;;
CALAYAN;INTERIOR LOTS;RR;20.00;;
CALLAO;ALL BARANGAY ROADS;RR;15.00;;
CALLAO;INTERIOR LOTS;RR;8.00;;
CARDAN;ALL BARANGAY ROADS;RR;15.00;;
CARDAN;INTERIOR;RR;8.00;;
CASITAN;ALL BARANGAY ROADS;RR;15.00;;
CASITAN;INTERIOR LOTS;RR;8.00;;
IPIL;NATIONAL ROAD;RR;25.00;;
IPIL;OTHER BARANGAY ROADS;RR;20.00;;
IPIL;INTERIOR LOTS;RR;15.00;;
ISCA;NATIONAL ROAD;RR;25.00;;
ISCA;OTHER BARANGAY ROADS;RR;20.00;;
ISCA;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;GONZAGA;;;;
BARANGAY :;VARIOUS;;;;
MAGRAFIL;RD ALONG SCHOOL SITE;RR;25.00;;
MAGRAFIL;OTHER BARANGAY ROADS;RR;20.00;;
MAGRAFIL;INTERIOR LOTS;RR;15.00;;
MINANGA;PROVINCIAL ROAD AND BRGY RDS;RR;25.00;;
MINANGA;INTERIOR ROADS/LOTS;RR;20.00;;
PATENG;NATIONAL ROAD;RR;25.00;;
PATENG;OTHER BARANGAY ROAD;RR;20.00;;
PATENG;INTERIOR LOTS;RR;15.00;;
REBECCA;NATIONAL ROAD;RR;25.00;;
REBECCA;OTHER BARANGAY ROAD;RR;20.00;;
REBECCA;INTERIOR LOTS;RR;15.00;;
