RDO:;RDO NO. 13 - TUGUEGARAO, CAGAYAN;;;;
BARANGAY :;TAMBULI;;;;
ALL LOTS;ALONG BARANGAY ROADS;RR;20.00;;
ALL LOTS;INTERIOR LOTS/ROADS;RR;15.00;;
ALL LOTS;INTERIOR LOTS/ROADS;;;;
BARANGAY :;TUBEL;;;;
ALL LOTS;ALONG BARANGAY ROADS;RR;20.00;;
ALL LOTS;INTERIOR LOTS/ROADS;RR;15.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;UTAN;;;;
ALL LOTS;ALONG BARANGAY ROADS;RR;35.00;;
ALL LOTS;INTERIOR LOTS/ROADS;RR;20.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;PACAC;;;;
ALL LOTS;ALONG BARANGAY ROADS;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;20.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;9.50;;
ALL LOTS;;A2;6.50;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A4;4.00;;
ALL LOTS;;A6;10.00;;
ALL LOTS;;A7;1.50;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A15;1.50;;
ALL LOTS;;A16;3.00;;
ALL LOTS;;A17;4.00;;
ALL LOTS;;A18;3.00;;
ALL LOTS;;A47;3.00;;
ALL LOTS;;A50;2.50;;
CITY/MUNICIPALITY:;AMULUNG;;;;
BARANGAY  :;CENTRO;;;;
NATIONAL ROAD;ROAD TO CEMETERY BRGY CALAMAGUI BOUNDERY;CR;135.00;;
NATIONAL ROAD;RD TO CEMETERY- DICHOSO ST;RR;120.00;;
NATIONAL ROAD;DICHOSO ST-BGY CALAMAGUI BDR;RR;120.00;;
NATIONAL ROAD;DICHOSO ST-BGY ANGUIRAY BDRY;RR;100.00;;
SAN RAFAEL ST;DICHOSO ST-BGY CALAMAGUI BDR;RR;85.00;;
