RDO:;RDO NO. 47 - EAST MAKATI;;;;
BSA MANSION;BENAVIDEZ ST;RC;67,500.00;;
BSA MANSION;BENAVIDEZ ST;CC;81,000.00;;
BSA MANSION;BENAVIDEZ ST;PS;48,600.00;;
BSA SUITES;C. PALANCA ST;RC;67,500.00;;
BSA SUITES;C. PALANCA ST;CC;81,000.00;;
BSA SUITES;C. PALANCA ST;PS;48,600.00;;
BSA TOWER;LEGASPI ST;RC;60,000.00;;
BSA TOWER;LEGASPI ST;CC;72,000.00;;
BSA TOWER;LEGASPI ST;PS;43,200.00;;
CACHO GONZALES CONDOMINIUM;AGUIRRE ST-TRASIERRA ST;RC;48,000.00;;
CACHO GONZALES CONDOMINIUM;AGUIRRE ST-TRASIERRA ST;CC;57,500.00;;
CACHO GONZALES CONDOMINIUM;AGUIRRE ST-TRASIERRA ST;PS;34,500.00;;
CATTLEYA GARDENS;C. PALANCA ST;RC;48,000.00;;
CATTLEYA GARDENS;C. PALANCA ST;CC;57,500.00;;
CATTLEYA GARDENS;C. PALANCA ST;PS;34,500.00;;
CATTLEYA I CONDOMINIUM;SALCEDO ST;RC;48,000.00;;
CATTLEYA I CONDOMINIUM;SALCEDO ST;CC;57,500.00;;
CATTLEYA I CONDOMINIUM;SALCEDO ST;PS;34,500.00;;
CENTRUM CONDOMINIUM;SALCEDO ST;CC;0.00;CENTRUM (CENTRO) CONDOMINIUM was abandoned, as justified by the RDO.;
CENTURY PLAZA;PEREA ST;RC;51,500.00;;
CENTURY PLAZA;PEREA ST;CC;61,800.00;;
CENTURY PLAZA;PEREA ST;PS;37,100.00;;
CITYLAND III;V.A. RUFINO ST (HERRERA ST);RC;48,000.00;;
CITYLAND III;V.A. RUFINO ST (HERRERA ST);CC;52,000.00;;
CITYLAND III;V.A. RUFINO ST (HERRERA ST);PS;31,200.00;;
CONCORDE CONDOMINIUM;SALCEDO ST-BENAVIDEZ ST;CC;48,000.00;;
CONCORDE CONDOMINIUM;SALCEDO ST-BENAVIDEZ ST;PS;28,800.00;;
CORINTHIAN PLAZA;P. DE ROXAS ST;CC;76,250.00;;
CORINTHIAN PLAZA;P. DE ROXAS ST;PS;45,750.00;;
CRISTINA CONDOMINIUM;LEGASPI ST (HERRERA ST);RC;48,000.00;;
CRISTINA CONDOMINIUM;LEGASPI ST (HERRERA ST);CC;50,400.00;;
CRISTINA CONDOMINIUM;LEGASPI ST (HERRERA ST);PS;30,240.00;;
CYA LAND;RADA ST;CC;57,500.00;;
CYA LAND;RADA ST;PS;34,500.00;;
CYPRESS GARDENS;V.A. RUFINO ST (HERRERA ST);RC;49,800.00;;
CYPRESS GARDENS;V.A. RUFINO ST (HERRERA ST);CC;59,760.00;;
CYPRESS GARDENS;V.A. RUFINO ST (HERRERA ST);PS;35,860.00;;
DAO I CONDOMINIUM;SALCEDO ST;CC;51,500.00;;
DAO I CONDOMINIUM;SALCEDO ST;PS;30,900.00;;
