RDO:;RDO NO.  10  BONTOC, MT. PROVINCE;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;35.00
ALL LOTS;;A25;9.00
ALL LOTS;;A44;6.00
ALL LOTS;;A47;60.00
ALL LOTS;INTERIOR;RR;100.00
ALL LOTS;INTERIOR;A23;32.00
ALL LOTS;INTERIOR;A25;8.00
ALL LOTS;INTERIOR;A47;55.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;OTUCAN POBLACION;;
ALL LOTS;;CR;115.00
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;35.00
ALL LOTS;;A25;9.00
ALL LOTS;;A44;6.00
ALL LOTS;;A47;60.00
ALL LOTS;INTERIOR;RR;100.00
ALL LOTS;INTERIOR;A23;32.00
ALL LOTS;INTERIOR;A25;8.00
ALL LOTS;INTERIOR;A47;55.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;SADSADAN;;
ALL LOTS;;CR;115.00
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;35.00
ALL LOTS;;A25;9.00
ALL LOTS;;A44;6.00
ALL LOTS;;A47;60.00
ALL LOTS;INTERIOR;RR;100.00
ALL LOTS;INTERIOR;A23;32.00
ALL LOTS;INTERIOR;A25;8.00
ALL LOTS;INTERIOR;A47;55.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;SINTO;;
ALL LOTS;;CR;115.00
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;35.00
ALL LOTS;;A25;9.00
ALL LOTS;;A44;6.00
ALL LOTS;;A47;60.00
ALL LOTS;INTERIOR;RR;100.00
ALL LOTS;INTERIOR;A23;32.00
ALL LOTS;INTERIOR;A25;8.00
ALL LOTS;INTERIOR;A47;55.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;TAPAPAN;;
ALL LOTS;;RR;65.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;30.00
ALL LOTS;;A25;12.00
ALL LOTS;;A44;9.00
ALL LOTS;;A47;55.00
ALL LOTS;INTERIOR;RR;60.00
ALL LOTS;INTERIOR;A23;26.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A47;50.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;AGAWA;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;AMBAGIW;;
ALL LOTS;;RR;35.00
ALL LOTS;;A1;40.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BANGUITAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.50
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;35.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;9.50
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BESAO EAST;;
ALL LOTS;;RR;65.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;60.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;BESAO WEST;;
ALL LOTS;;RR;65.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;7.00
ALL LOTS;;A25;11.00
ALL LOTS;;A29;20.00
ALL LOTS;INTERIOR;RR;60.00
ALL LOTS;INTERIOR;A1;45.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A29;15.00
CITY/MUNICIPALITY:;BESAO;;
BARANGAY:;CATENGAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;5.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;15.00
ALL LOTS;INTERIOR;RR;30.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A26;9.00
ALL LOTS;INTERIOR;A29;15.00
