RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;(FORMERLY RDO NO.  25  -  SOUTH MANILA);
HOSPITAL;ARROCEROS - P BURGOS;CR;8,200.00;;
PADRE BURGOS;BONIFACIO DRIVE - L BONI;GL;8,200.00;;
PALACIO;GEN LUNA - P BURGOS;CR;8,200.00;;
VICTORIA;MURALLA - P BURGOS;CR;7,000.00;;
BARANGAY:;BARANGAY  660 ZONE  71;;;;
AYALA BLVD;TAFT AVENUE - E FERNANDEZ;X;7,000.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD - UN AVENUE;RR;6,000.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD - UN AVENUE;CR;12,000.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD - UN AVENUE;X;6,000.00;;
T M KALAW;TAFT AVE - E FERNANDEZ;CR;20,500.00;;
TAFT AVENUE;AYALA BLVD - UN AVENUE;CR;25,000.00;;
TAFT AVENUE;AYALA BLVD - UN AVENUE;X;7,700.00;;
U N AVENUE (ISAAC PERAL);TAFT AVE - E FERNANDEZ;CR;15,000.00;;
BARANGAY:;BARANGAY  661 ZONE  71;;;;
D ROMUALDEZ;T AYALA-ISLA CONVALE;CR;10,000.00;;
D ROMUALDEZ;T AYALA-ISLA CONVALE;RC;10,000.00;;
ZOBEL;D ROMUALDEZ-ISLA PROVISOR;CR;9,400.00;;
BARANGAY:;BARANGAY  662 ZONE  71;;;;
CRISTOBAL;UN AVE - E SANTIANAS;CR;4,700.00;;
ALL OTHER STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY  663 ZONE  71;;;;
AYALA BLVD;E FERNANDEZ-ROMUALDEZ;CR;10,000.00;;
D ROMUALDEZ;AYALA BLVD-ZOBEL;CR;10,000.00;;
D ROMUALDEZ;AYALA BLVD-ZOBEL;RR;15,000.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD-ZOBEL;RR;6,000.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD-ZOBEL;CR;12,000.00;;
SYLVIA;AYALA BLVD-ROMUALDEZ;CR;7,000.00;;
T AYALA;MERCEDEZ-D ROMUALDEZ;CR;6,400.00;;
ZOBEL;E FERNANDEZ-D ROMUALDEZ;CR;10,000.00;;
BARANGAY:;BARANGAY  663-A ZONE  71;;;;
AYALA BLVD;D ROMUALDEZ-ISLA CONVALE;CR;10,000.00;;
D ROMUALDEZ;T AYALA-AYALA BLVD;CR;10,000.00;;
D ROMUALDEZ;T AYALA-AYALA BLVD;RC;15,000.00;;
T AYALA;D ROMUALDEZ-ISLA CONVALE;CR;9,900.00;;
BARANGAY:;BARANGAY  664 ZONE  71;;;;
D ROMUALDEZ;ISLA PROVISOR - UN AVENUE;CR;10,000.00;;
D ROMUALDEZ;ISLA PROVISOR - UN AVENUE;RC;15,000.00;;
E FERNANDEZ (SAN MARCELINO);U N AVENUE;RR;6,000.00;;
E FERNANDEZ (SAN MARCELINO);U N AVENUE;CR;12,000.00;;
LOOBAN;EST DE TANGUE - UN AVENUE;CR;4,700.00;;
U N AVENUE;D ROMUALDEZ - TANGUE;CR;15,000.00;;
U N AVENUE;D ROMUALDEZ - TANGUE;RC;25,000.00;;
U N AVENUE;D ROMUALDEZ - TANGUE;X;7,000.00;;
BARANGAY:;BARANGAY  664-A ZONE  71;;;;
CRISTOBAL;EST DE SANTI-BANAS U;CR;4,200.00;;
