RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
LAKANDULA;KAGITINGAN-LUALHATI;RR;1,200.00;;
LUALHATI;LAKANDULA-DALISAY;RR;1,000.00;;
BARANGAY:;BARANGAY  35 ZONE  3;;;;
CAMBA EXT;NOLASCO-IBARRA;RR;1,000.00;;
IBARRA;WAGAS-J NOLASCO;RR;1,000.00;;
J NOLASCO;LAKANDULA;RR;1,000.00;;
LAKANDULA;WAGAS-J NOLASCO;CR;2,500.00;;
LAKANDULA;WAGAS-J NOLASCO;RR;1,200.00;;
SANDICO;RIGHT SIDE OF WAGAS;RR;1,000.00;;
WAGAS;LAKANDULA-SANDICO;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  36 ZONE  3;;;;
BARCELONA;ORTEGA-MORGA;RR;1,200.00;;
J NOLASCO;SANDICO-ORTEGA;RR;1,000.00;;
MORGA;BARCELONA-WAGAS;RR;1,000.00;;
ORTEGA;J NOLASCO-BARCELONA;RR;1,000.00;;
SANDICO;WAGAS-J NOLASCO;RR;1,000.00;;
WAGAS;MORGA-SANDICO;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  37 ZONE  3;;;;
ILOCOS ROAD;SANDICO-TUAZON;RR;1,000.00;;
KAGITINGAN;SANDICO-TUAZON;RR;1,000.00;;
NUEVA ECIJA;SANDICO-TUAZON;RR;1,000.00;;
SANDICO;N ECIJA R-KAGITINGAN;RR;1,000.00;;
TUAZON;KAGITINGAN-N ECIJA R;RR;1,000.00;;
BARANGAY:;BARANGAY  38 ZONE  3;;;;
KAGITINGAN;LAKANDULA-SANDICO;RR;1,000.00;;
LAKANDULA;MARCOS RD-TAGUMPAY;CR;2,500.00;;
LAKANDULA;MARCOS RD-TAGUMPAY;RR;1,200.00;;
SANDICO;TAGUMPAY-MARCOS RD;RR;1,000.00;;
TAGUMPAY;SANDICO-LAKANDULA;RR;1,000.00;;
BARANGAY:;BARANGAY  39 ZONE  3;;;;
LAKANDULA;MARCOS RD-TAGUMPAY;CR;2,500.00;;
LAKANDULA;MARCOS RD-TAGUMPAY;RR;1,100.00;;
MARCOS ROAD;SANDICO-LAKANDULA;CR;4,000.00;;
SANDICO;TAGUMPAY-MARCOS RD;RR;1,000.00;;
TAGUMPAY;LAKANDULA-SANDICO;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  40 ZONE  3;;;;
MARCOS ROAD;SANDICO-TUAZON;CR;4,000.00;;
NUEVA ECIJA ROAD;SANDICO-TUAZON;RR;1,000.00;;
SANDICO;MARCOS RS-N ECIJA RD;RR;1,000.00;;
TUAZON;N ECIJA RD-MARCOS RD;RR;1,000.00;;
BARANGAY:;BARANGAY  41 ZONE  3;;;;
DALISAY;KAGITINGAN-KASIPAGAN;RR;1,000.00;;
KASIPAGAN;DALISAY-MORIONES;RR;1,000.00;;
LUALHATI;MORIONES-DALISAY;RR;1,000.00;;
MITHI;MORIONES-DALISAY;RR;1,000.00;;
MORGA EXT;MORIONES-DALISAY;RR;1,000.00;;
MORIONES;KASIPAGAN-KAGITINGAN;CR;2,500.00;;
MORIONES;KASIPAGAN-KAGITINGAN;RR;1,200.00;;
TUAZON;MORIONES-DALISAY;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  42 ZONE  3;;;;
KASIPAGAN;MORIONES-ORTEGA;RR;1,000.00;;
MASINOP;MORIONES-ORTEGA;RR;1,000.00;;
MORGA EXT;KASIPAGAN-WAGAS;RR;1,000.00;;
