RDO:;RDO NO. 49 - NORTH MAKATI;;;Formerly (RDO. 32 Makati East);
LOURDES;KALAYAAN AVE.-J P RI;RR;6,000.00;;
FATIMA;KALAYAAN AVE.-J P RI;RR;6,000.00;;
M. LAYUG;KALAYAAN AVE.-J P RI;RR;6,000.00;;
REPOSO;KALAYAAN AVE.-J P RI;RR;6,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;15,000.00;;
BARANGAY:;SALCEDO VILLAGE;;;;
ALFARO;;CR;30,000.00;;
AYALA AVENUE;;CR;50,000.00;;
BAUTISTA;;CR;30,000.00;;
GALLARDO;;CR;30,000.00;;
GERONIMO;;CR;30,000.00;;
H DELA COSTA;;CR;30,000.00;;
HERRERA;;CR;30,000.00;;
LAKANDULA;;CR;30,000.00;;
MALUGAY;BUENDIA;CR;30,000.00;;
NIEVA;;CR;30,000.00;;
PASEO DE ROXAS;;CR;50,000.00;;
SALCEDO;;CR;30,000.00;;
SAN AGUSTIN;;CR;30,000.00;;
SANCHEZ;;CR;30,000.00;;
SEDENO;;CR;30,000.00;;
SEN GIL PUYAT;AYALA - MAKATI AVENU;CR;30,000.00;;
SOLIMAN;;CR;30,000.00;;
TOLEDO;;CR;30,000.00;;
TORDESILLAS;;CR;30,000.00;;
VALERO;;CR;30,000.00;;
VANO;;CR;30,000.00;;
VILLAR;;CR;30,000.00;;
ACT TOWER;;RC;18,000.00;;
ATHENAEMU CONDOMINIUM;;RC;18,000.00;;
AVIGNON;;RC;20,000.00;;
CENTRUM CONDOMINIUM;;RC;15,000.00;;
CHAMPACA BULDING II;;RC;17,000.00;;
CITYLAND IV;;RC;16,800.00;;
CITYLAND VI;;RC;17,000.00;;
CONDO PROJECT;;RC;15,000.00;;
CORDOVA CONDOMINIUM;AYALA AVENUE - BUENO;RC;20,000.00;;
CORDOVA CONDOMINIUM;BUENDIA;RC;20,000.00;;
COUNTRY SPACE I;;RC;18,000.00;;
EUROVILLE CONDOMINIUM;;RC;15,000.00;;
EUROVILLE II;;RC;12,000.00;;
HEART TOWER;;RC;16,000.00;;
LCG CONDOMINIUM;;RC;10,000.00;;
LE FLOR;;RC;15,000.00;;
LE GRAND;;RC;16,000.00;;
LIROVILLE CONDO;;RC;15,000.00;;
LPL PLAZA;;RC;20,000.00;;
MAKATI EXECUTIVE CENTER;;RC;15,000.00;;
ORIENT MANSION;;RC;17,500.00;;
PARC REGENT;;RC;18,000.00;;
PARKLANE CONDO;;RC;18,750.00;;
PRINCE TOWER;;RC;18,000.00;;
SAGITARIUS CONDOMINIUM;;RC;17,000.00;;
STATE CONDOMINIUM;;RC;12,000.00;;
VERNIDA CONDO IV;;RC;23,000.00;;
Y TOWER II;;RC;12,000.00;;
BARANGAY:;SINGCAMAS;;;;
