RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
R MABAGOS;ZARAGOSA P HERRERA;RR;1,200.00;;
TAGUMPAY;ZARAGOSA P HERRERA;RR;1,200.00;;
ZABALA;ZARAGOSA P HERRERA;RR;1,350.00;;
ZARAGOZA EXT;KAGITINGAN TAGUMPAY;CR;5,200.00;;
ZARAGOZA EXT;KAGITINGAN TAGUMPAY;RR;2,200.00;;
BARANGAY:;BARANGAY  30 ZONE  2;;;;
BALAGTAS;ZARAGOSA P HERRERA;RR;1,200.00;;
HERRERA;TAGUMPAY MARCOS RD;RR;1,200.00;;
HINAHON;ZARAGOSA P HERRERA;RR;1,200.00;;
MARCOS RD;ZARAGOSA P HERRERA;CR;4,750.00;;
MARIA PAYO;ZARAGOSA P HERRERA;RR;1,200.00;;
MASIKAP;ZARAGOSA P HERRERA;RR;1,200.00;;
MATIISIN;ZARAGOSA P HERRERA;RR;1,200.00;;
MATIMTIMAN;ZARAGOSA P HERRERA;RR;1,200.00;;
PADRE RADA;ZARAGOSA P HERRERA;RR;1,200.00;;
PAGHANAPIN;ZARAGOSA P HERRERA;RR;1,200.00;;
R MABAGOS;ZARAGOSA P HERRERA;RR;1,200.00;;
ZABALA;ZARAGOSA P HERRERA;RR;1,200.00;;
ZARAGOSA EXTENSION;TAGUMPAY MARCOS RD;CR;5,200.00;;
ZARAGOSA EXTENSION;TAGUMPAY MARCOS RD;RR;1,500.00;;
BARANGAY:;BARANGAY  31 ZONE  2;;;;
BALAGTAS;ZABALA P HERRERA;RR;1,200.00;;
HERRERA;TAGUMPAY MARCOS RD;RR;1,350.00;;
MARIA PAYO;ZABALA P HERRERA;RR;1,200.00;;
PAGHANAPIN;ZABALA P HERRERA;RR;1,200.00;;
R MABAGOS;ZABALA P HERRERA;RR;1,200.00;;
WAGAS;ZABALA P HERRERA;RR;1,200.00;;
ZABALA;WAGAS KASIPAGAN;RR;1,350.00;;
BARANGAY:;BARANGAY  32 ZONE  2;;;;
HINAHON;ZARAGOSA ZABALA;RR;1,200.00;;
KASIPAGAN;ZARAGOSA ZABALA;RR;1,200.00;;
MASIKAP;ZARAGOSA ZABALA;RR;1,200.00;;
MATIISIN;ZARAGOSA ZABALA;RR;1,200.00;;
PADRE RADA;ZARAGOSA ZABALA;RR;1,200.00;;
ZABALA;KASIPAGAN WAGAS;RR;1,350.00;;
ZARAGOZA;WAGAS KASIPAGAN;CR;5,200.00;;
BARANGAY:;BARANGAY  33 ZONE  3;;;ZONE 3 IS BOUNDED BY:     NORTH  -  MORIONES (FR. MARCOS ROAD TO ASUNCION)     SOUTH  -  LAKANDULA (FR. ASUNCION TO MARCOS ROAD)     WEST   -  ASUNCION (FR. LAKANDULA TO MORIONES)     EAST   -  MARCOS ROAD (FR. MORIONES TO LAKANDULA);
DALISAY;WAGAS LUALHATI;RR;1,200.00;;
IBARRA;LUALHATI WAGAS;RR;1,200.00;;
LAKANDULA;KAGITINGAN LUALHATI;CR;3,250.00;;
LAKANDULA;KAGITINGAN LUALHATI;RR;1,450.00;;
LUALHATI;LAKANDULA DALISAY;RR;1,200.00;;
SANDICO;LUALHATI WAGAS;RR;1,200.00;;
WAGAS;LAKANDULA DALISAY;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  34 ZONE  3;;;;
DALISAY;LAKANDULA KAGITINGAN;RR;1,200.00;;
KAGITINGAN;LAKANDULA DALISAY;RR;1,200.00;;
LAKANDULA;KAGITINGAN LUALHATI;CR;3,250.00;;
LAKANDULA;KAGITINGAN LUALHATI;RR;1,450.00;;
LAKANDULA;LAKANDULA DALISAY;RR;1,200.00;;
CAMBA EXTENSION;NOLASCO IBARRA;RR;1,200.00;;
IBARRA;WAGAS J NOLASCO;RR;1,200.00;;
J NOLASCO;LAKANDULA;RR;1,200.00;;
LAKANDULA;WAGAS J NOLASCO;CR;3,250.00;;
LAKANDULA;WAGAS J NOLASCO;RR;1,600.00;;
SANDICO;RIGHT SIDE OF WAGAS;RR;1,200.00;;
SANDICO;LAKANDULA SANDICO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARCELONA;ORTEGA MORGA;RR;1,450.00;;
J NOLASCO;SANDICO ORTEGA;RR;1,200.00;;
MORGA;BARCELONA WAGAS;RR;1,200.00;;
ORTEGA;J NOLASCO BARCELONA;RR;1,200.00;;
SANDICO;WAGAS J NOLASCO;RR;1,200.00;;
WAGAS;MORGA SANDICO;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
ILOCOS RD;SANDICO TUAZON;RR;1,200.00;;
KAGITINGAN;SANDICO TUAZON;RR;1,200.00;;
NUEVA ECIJA;SANDICO TUAZON;RR;1,200.00;;
SANDICO;N ECIJA R KAGITINGAN;RR;1,200.00;;
TUAZON;KAGITINGAN N ECIJA;RR;1,200.00;;
KAGITINGAN;LAKANDULA SANDICO;RR;1,200.00;;
LAKANDULA;MARCOS RD TAGUMPAY;CR;3,250.00;;
LAKANDULA;MARCOS RD TAGUMPAY;RR;1,450.00;;
SANDICO;TAGUMPAY MARCOS RD;RR;1,200.00;;
TAGUMPAY;SANDICO LAKANDULA;RR;1,200.00;;
LAKANDULA;MARCOS RD TAGUMPAY;CR;3,250.00;;
