RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
GEN KALENTONG;MRR-ROMUALDEZ;RR;5,000.00;;
GEN KALENTONG;ROMUALDEZ-MAYTUNAS;CR;6,000.00;;
GEN KALENTONG;ROMUALDEZ-MAYTUNAS;RR;5,000.00;;
HAIG;;RR;3,000.00;;
MAGALONA;;RR;2,000.00;;
MARTINEZ;;RR;2,000.00;;
ROMUALDEZ;;RR;2,000.00;;
SHAW BLVD;MAGALONA-MANILA BDRY;CR;6,000.00;;
TIOSEJO JR;;RR;2,500.00;;
ALL OTHER STREETS;;RR;1,800.00;;
ALL OTHER STREETS;;CR;3,000.00;;
BARANGAY:;HAGDAN BATO ITAAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
BERNARDO;SHAW BLVD;RR;2,500.00;;
BONIFACIO;;RR;2,000.00;;
BURGOS;;RR;2,000.00;;
GOMEZ;;RR;2,000.00;;
LOPEZ;;RR;2,000.00;;
LUNA;;RR;2,000.00;;
M DELOS SANTOS;;RR;2,000.00;;
ORTIGAS  F.;;RR;3,000.00;;
SANCHEZ;;RR;2,000.00;;
ALL OTHER STREETS;;RR;2,000.00;;
BARANGAY:;HAGDAN BATO LIBIS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ACACIA LANE;SHAW BLVD;RR;4,500.00;;
ANO 96;SHAW BLVD;RR;2,500.00;;
AQUINO;SHAW BLVD;RR;3,000.00;;
AQUINO CLAIRMONT;;RC;8,000.00;;
ARAULLO;SHAW BLVD;RR;3,000.00;;
BONIFACIO;SHAW BLVD;RR;2,000.00;;
CRUZ;;RR;2,000.00;;
GONZALEZ;SHAW BLVD;RR;2,000.00;;
GUERRERO;SHAW BLVD;RR;2,000.00;;
M YULO;SHAW BLVD;RR;2,000.00;;
PINAGTIPUNAN;SHAW BLVD;RR;1,650.00;;
POBLADOR N;;RR;2,250.00;;
VIVENCIO;;RR;2,000.00;;
29 DE AGOSTO;SHAW BLVD;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,550.00;;
BARANGAY:;HARAPIN ANG BUKAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
HARAPIN ANG BUKAS;G KALENTONG-AT REYES;RR;2,000.00;;
HARAPIN ANG BUKAS;G KALENTONG-AT REYES;CR;2,500.00;;
HARAPIN ANG BUKAS;AT REYES-A LUNA;RR;1,800.00;;
HARAPIN ANG BUKAS;AT REYES-A LUNA;CR;2,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;CR;1,650.00;;
BARANGAY:;HIGHWAY HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ARAYAT;POLYMEDIC HOSPITAL;RR;3,000.00;;
BANAHAW;SAMAT-MARIVELS;RR;2,800.00;;
CALBAYOG;SHAW BLVD;RR;2,800.00;;
CORDILLERA;EDSA;RR;2,800.00;;
EDSA;SHAW BLVD;CR;8,750.00;;
ESTEBAN I;EDSA;RR;2,800.00;;
GUEVENTVILLE;CALBAYOG - LIBERTAD;RC;7,500.00;;
KANLAON;EDSA;RR;2,900.00;;
KINGS;SHAW BLVD;RR;2,900.00;;
LIBERTAD;;RR;2,900.00;;
LIBERTAD;;CR;5,000.00;;
LOPEZ RIZAL;SHAW BLVD;RR;2,900.00;;
MALINAO;;RR;2,900.00;;
MARIVELES;SHAW BLVD;RR;2,900.00;;
MAYFLOWER;;RR;2,900.00;;
MAYFLOWER;;I;2,900.00;;
NORTH EASTSIDE;SHAW BLVD UNITED;CR;5,250.00;;
NORTH EASTSIDE;UNITED MAKATI;CR;5,000.00;;
NORTH WESTSIDE;SHAW BLVD BONI AVE;CR;5,250.00;;
NORTH WESTSIDE;BONI AVE MAKATI;CR;5,000.00;;
OLD WACK-WACK;SHAW BLVD;RR;4,000.00;;
PALLADIUM SUBD;ALONG SHAW BLVD;RR;12,500.00;;
PALLADIUM SUBD;ALONG SHAW BLVD;CC;14,500.00;;
QUEENS;SHAW BLVD;RR;2,900.00;;
ROAD I;EDSA;RR;2,900.00;;
ROAD II;EDSA;RR;2,900.00;;
S MADRE N EASTSIDE;EDSA;RR;3,000.00;;
SAMAT;SHAW BLVD-CALBAYOG;RR;3,200.00;;
SAMAT;SHAW BLVD-CALBAYOG;CR;4,500.00;;
SAMAT;CALBAYOG-J FERNANDEZ;RR;3,000.00;;
SHAW B JOVAN COND;;CC;10,000.00;;
SHAW BLVD;;CR;6,500.00;;
SHERIDAN;EDSA;RR;5,000.00;;
SHERIDAN;EDSA;CR;6,000.00;;
;;I;5,400.00;;
SINAG;;RR;1,900.00;;
SULTAN;;RR;2,200.00;;
UNITED;SHAW BLVD-CROSSING;CR;6,750.00;;
UNITED;;I;6,750.00;;
WILLIAMS;;CR;6,750.00;;
ALL OTHER STREETS;;RR;2,400.00;;
ALL OTHER STREETS;;CR;6,000.00;;
ALL OTHER STREETS;;APD;0.00;SINAG STREET     N    -  AMARILLO STREET        E    -  FERNANDEZ STREET, M. CRUZ STREET    JOINING FERNANDEZ & SINAG STREETS,    SINAG STREET FROM M. CRUZ TO LIBERTAD ST.                                                           S    -  LIBERTAD STREET W    -  9 DE PEBRERO STREET  CALBAYOG :   N    -  LIBERTAD STREET                                                         E    -  I, ESTEBAN (FORMERLY MAUBAN) AND                                                                   CORDILLERA STREET FROM CORNER LIBERTAD                                                                    TO ARAYAT STREETS   S    -  ARAYAT STREET                                                         W    -  BULUSAN STREET, ANTIPOLO STREET                                                                    (CONNECTING BULUSAN & CALBAYOG STREETS)                                                                    AND CALBAYOG STREET EXTENDING TOWARDS                                                                    LIBERTAD STREET;
BARANGAY:;HULO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
AGLIPAY;;RR;2,000.00;;
CHUAQUICO;;RR;2,000.00;;
CORONADO;;RR;2,000.00;;
GRIARTE;;RR;2,000.00;;
KANLURAN;;RR;2,000.00;;
KASIPAGAN;;RR;2,000.00;;
MATAMIS;;RR;2,000.00;;
PANTALEON;;RR;2,000.00;;
PVT ROAD;;RR;2,000.00;;
SAN JOSE;;RR;2,000.00;;
SANIBOY;;RR;2,000.00;;
ALL OTHER STREETS;;RR;2,000.00;;
HULO ESTATE;;APD;0.00;HULO ESTATE :   NW    -  LIBERTY FLOUR MILLS  NE     -  BLUMINTRITT STREET TOWARDS THE RIGHT  OF WAY OF ETERNIO PLYWOODS, PNR TRACKS EXTENDING UP TO INSULAR SUGAR REFINING   CORPORATION PROPERTY LINE   SE     -   INSULAR SUGAR REFINING CORPORATION     SW    -   CORONADO STREET AND PASIG RIVER;
BARANGAY:;MABINI  J RIZAL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
CASTANEDA;;RR;1,800.00;;
MABINI;PASIG RIVER;RR;2,000.00;;
MARTINEZ;;RR;1,800.00;;
MENDOZA;PASIG RIVER;RR;1,800.00;;
NANIRAHAN;PASIG RIVER;RR;1,800.00;;
PANANALIG;PASIG RIVER;RR;1,800.00;;
RIZAL J;PASIG RIVER;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,800.00;;
ALL OTHER STREETS;;CR;2,000.00;;
ABELLAIS COMPOUND;;APD;0.00;ABELLAIS COMPOUND : NW    -  A. MABINI STREET    NE     -  )------- UNNAMED CREEK    SE     -  )   SW    -   LOT NO.  14-A AND PARCEL B;
BARANGAY:;MALAMIG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ARAYAT;EDSA;RR;3,000.00;;
BARANGKA DRIVE;BONI AVENUE;RR;2,800.00;;
BASILAN;BONI AVENUE;RR;2,500.00;;
BONI AVENUE;EDSA-PINATUBO;RR;3,200.00;;
BONI AVE;EDSA-PINATUBO;CR;4,500.00;;
BONI AVENUE;PINATUBO-BARANGKA;RR;3,000.00;;
BONI AVENUE;PINATUBO-BARANGKA;CR;3,500.00;;
BONI AVENUE;BARANGKA-MAYSILO;RR;2,900.00;;
BONI AVENUE;BARANGKA-MAYSILO;CR;3,200.00;;
CAMIGUIN;NAT'L MENTAL HOSP;RR;2,000.00;;
CORDILLERA;EDSA-BEHIND P'MEDIC;RR;2,800.00;;
CRESTA;ARAYAT;RR;2,500.00;;
DANSALAN;BONI AVENUE;RR;2,600.00;;
EDSA;;CR;5,500.00;;
HALCON;BONI AVENUE;RR;2,800.00;;
LIMAY;BONI AVENUE;RR;2,600.00;;
LUNAS;BONI AVENUE;RR;2,600.00;;
MAKILING;BONI AVENUE;RR;2,600.00;;
MAYON;BONI AVENUE;RR;2,800.00;;
PINATUBO;EDSA;RR;2,800.00;;
PINATUBO;EDSA;CR;3,600.00;;
PULOG;BONI AVENUE;RR;2,800.00;;
SIERRA MADRE;LIBERTAD;RR;3,000.00;;
SIERRA MADRE;LIBERTAD;CR;3,400.00;;
SULATAN;BONI AVENUE;RR;2,600.00;;
TABAYOG;BARRANCA DRIVE;RR;2,600.00;;
TABAYOG;BARRANCA DRIVE;CR;2,800.00;;
TALAYAN;BARRANCA DRIVE;RR;2,200.00;;
TALAYAN;BARRANCA DRIVE;CR;2,800.00;;
TALUMPONG;NAT'L MENTAL HOSP;RR;2,200.00;;
TALUMPONG;NAT'L MENTAL HOSP;CR;3,500.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,800.00;;
ALL OTHER STREETS;;I;3,000.00;;
BARANGAY:;MALUWAY;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
AMARILLO;NAT'L MENTAL HOSP;RR;2,500.00;;
ANTIPOLO;;RR;2,000.00;;
ARAYAT;NAT'L MENTAL HOSP;RR;2,000.00;;
BULUSAN;LIBERTAD;RR;2,000.00;;
CALBAYOG;LIBERTAD;RR;2,000.00;;
CRUZ M;9 DE FEBRERO;RR;2,000.00;;
FERNANDEZ AVE;;RR;2,000.00;;
LIBERTAD;;RR;2,500.00;;
LIBERTAD;;CR;3,250.00;;
LIBERTAD;SINAG CALBAYOG;RR;2,000.00;;
LIBERTAD;CALBAYOG;RC;7,500.00;;
SAN JOSE;NAT'L MENTAL HOSP;RR;2,800.00;;
SINAG;NAT'L MENTAL HOSP;RR;2,800.00;;
PAETE;FATIMA CHURCH;RR;2,800.00;;
9 DE FEBRERO;NAT'L MENTAL HOSP;RR;2,900.00;;
9 DE FEBRERO;NAT'L MENTAL HOSP;CR;3,200.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;3,350.00;;
