CEBU NORTH RD END;BASAK DUNGO AN END;RR;300.00;;
CEBU NORTH RD END;BASAK DUNGO AN END;I;300.00;;
EVERSLEY SANITARIUM;;GL;0.00;;
UNION CARBIDE HILLS;;I;300.00;;
BAAS JAGOBIAO RD;ABELLANA END;RR;360.00;;
SITIO TUNGASAN;;RR;150.00;;
ALL OTHER STREETS;;RR;150.00;;
ALL OTHER STREETS;;GP;150.00;;
BARANGAY:;LABOGON;;;;
MARIA ANTONIA SUBD;;RR;900.00;;
DONA ROSARIO VILLAGE;;RR;500.00;;
LABOGON CIRCUMFERENTIAL;LABOGON DONA ANTONIA;RR;800.00;;
LABOGON CIRCUMFERENTIAL;LABOGON DONA ANTONIA;I;800.00;;
LABOGON ROAD;LABOGON CTR END;RR;800.00;;
LABOGON ROAD;LABOGON CTR END;I;800.00;;
LABOGON PAKNA AN;JAYME PAKNAAN LABOGO;RR;800.00;;
LABOGON PAKNA AN;JAYME PAKNAAN LABOGO;I;800.00;;
CEBU NORTH ROAD;S JAEME LABOGON RD;RR;800.00;;
CEBU NORTH ROAD;S JAEME LABOGON RD;I;800.00;;
S JAYME ST;CEBU NORTH BOUNDARY;RR;800.00;;
S JAYME ST;CEBU NORTH BOUNDARY;I;800.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;I;750.00;;
BARANGAY:;LOOC;;;;
MABINI ST;PLARIDEL SAN ANTONIO;RR;1,500.00;;
MABINI ST;PLARIDEL SAN ANTONIO;I;1,500.00;;
PLARIDEL ST;SEAWALL A MABINI ST;RR;1,500.00;;
PLARIDEL ST;SEAWALL A MABINI ST;I;1,500.00;;
PLARIDEL ST;A MABINI SAN ANTONIO;RR;500.00;;
PLARIDEL ST;A MABINI SAN ANTONIO;I;500.00;;
ANTIPOLO;A MABINI END;RR;500.00;;
ANTIPOLO;A MABINI END;I;500.00;;
SAN ANTONIO;;RR;500.00;;
SAN ANTONIO;;I;500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;MAGUIKAY;;;;
M L QUEZON AVE;CEBU NORTH TINGUB;RR;1,400.00;;
M L QUEZON AVE;CEBU NORTH TINGUB;I;1,400.00;;
CEBU NORTH ROAD;MLQ BUTUAN BRIDGE;RR;500.00;;
CEBU NORTH ROAD;MLQ BUTUAN BRIDGE;I;500.00;;
MAGUIKAY CASUNTINGAN;MAGUIKAY V ALBANO ST;RR;500.00;;
MAGUIKAY CASUNTINGAN;MAGUIKAY V ALBANO ST;I;500.00;;
SUDLON ROAD;CEBU NR MAGUIKAY FEEDER;RR;500.00;;
SUDLON ROAD;CEBU NR MAGUIKAY FEEDER;I;500.00;;
NURSERY BO RD;CEBU NR MAGUIKAY FEEDER;RR;500.00;;
NURSERY BO RD;CEBU NR MAGUIKAY FEEDER;I;500.00;;
ALBANO ST;;RR;500.00;;
ALBANO ST;;I;500.00;;
MAGUIKAY FEEDER SUBD;ALBANO SUDLON ROAD;RR;500.00;;
MAGUIKAY FEEDER SUBD;ALBANO SUDLON ROAD;I;500.00;;
TINGUB MAGUIKAY RD;QUEZON BUTUANON RIVER;RR;500.00;;
TINGUB MAGUIKAY RD;QUEZON BUTUANON RIVER;I;500.00;;
CEBU NORTH ROAD;MLQ BAKILID BO RD;CR;1,400.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;MANTUYONG;;;;
A DEL ROSARIO AVE;GEN LUNA ST;CR;1,500.00;;
ECHIVARRE;;RR;500.00;;
GEN LUNA;;RR;500.00;;
URDANETA;;RR;500.00;;
CENIZA ST;;CR;3,100.00;;
ALL OTHER STREETS;;CR;500.00;;
ALL OTHER STREETS;;RR;500.00;;
BARANGAY:;OPAO;;;;
G OUANO ST;ALANG ALANG;RR;1,400.00;;
G OUANO ST;ALANG ALANG;I;1,400.00;;
ALANG ALANG OPAO RD;G OUANO END;RR;850.00;;
ALANG ALANG OPAO RD;G OUANO END;I;850.00;;
G OUANO;ALANG ALANG OPAO RD;RR;850.00;;
G OUANO;ALANG ALANG OPAO RD;I;850.00;;
GRANCENA;;GP;850.00;;
GRANCENA;;I;850.00;;
ALANG ALANG UMAPAD;G OAUNO BOUNDARY;RR;500.00;;
ALANG ALANG UMAPAD;G OAUNO BOUNDARY;I;500.00;;
ALL OTHER STREETS;SITIOS ILOG GRANCENA;I;850.00;;
BARANGAY:;PAGSABUNGAN;;;;
PAGSABUNGAN ROAD;BOUNDARY TO TINGUB;RR;850.00;;
PAGSABUNGAN ROAD;BOUNDARY TO TINGUB;I;850.00;;
GREEN VIEW SUBD;;RR;1,300.00;;
ABELLANA ST;TINGUB PAGSABUNGAN;RR;850.00;;
ABELLANA ST;TINGUB PAGSABUNGAN;I;850.00;;
TINGUB PAGSABUNGAN;BOUNDARY ABELLANA;RR;300.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;I;300.00;;
BARANGAY:;PAKNA-AN;;;;
S JAEME ST;BGY LABOGON;RR;1,000.00;;
CEBU NORTH ROAD;BUTUANON RIVER BOUND;CR;1,000.00;;
SITIO CAMBOGAONG;;RR;1,000.00;;
SITIO CAMBOGAONG;;I;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
