RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
SAN PATRICIO;SAN DIONISIO-SAN DAMIAN;RR;5,460.00;;
TAHIMIK ST.;SAN PATRICIO-DEL PAN;RR;5,460.00;;
ZARAGOSA EXT;LUALHATI-DEL PAN EXT;CR;26,250.00;;
ZARAGOSA EXT;LUALHATI-DEL PAN EXT;RR;7,560.00;;
ALL OTHER STREETS;;CR;22,750.00;;
ALL OTHER STREETS;;RR;5,460.00;;
BARANGAY:;BARANGAY  18 ZONE  2;;;;
DEL PAN EXT;DEL PAN BRIDGE;CR;27,300.00;;
GERONIMO ST.;SAN SIMON-SAN PATRICIO;RR;4,340.00;;
HILARION ST.;SAN SIMON-SAN PATRICIO;RR;4,340.00;;
KAGITINGAN;BARRIO-SLIP ZERO;RR;4,536.00;;
MARCOS HIGHWAY;KAGITINGAN-DELPAN;RR;4,340.00;;
SAN DAMIAN;SAN PATRICIO-KAGITINGAN;RR;4,340.00;;
SAN FERMIN ST.;SAN DAMIAN-MARCOS ST.;RR;4,340.00;;
SAN ISAAC;SAN FERMIN-SAN PATRICIO;RR;4,340.00;;
SAN LUCAS;SAN FERMIN-SAN PATRICIO;RR;4,340.00;;
SAN PATRICIO ST.;MARCOS HI-WAY-SAN DAMIAN;RR;4,340.00;;
SAN SIMON ST.;TAHIMIK ST.-MARCOS ST.;RR;4,340.00;;
SLIP ZERO;NEAR MICT;RR;4,340.00;;
TAHIMIK ST.;DELPAN-SAN PATRICIO;RR;4,340.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;4,340.00;;
BARANGAY:;BARANGAY  19 ZONE  2;;;;
DELPAN ST.;SAN GABRIEL-ZARAGOSA;RR;3,780.00;;
KAGITINGAN;ZARAGOSA-SLIP ZERO;RR;3,780.00;;
LUALHATI ST.;SAN GABRIEL-ZARAGOSA;RR;3,780.00;;
SAN GABRIEL ST.;LUALHATI ST.;RR;3,780.00;;
SANTA BARBARA ST.;KAGITINGAN-LUALHATI;RR;3,780.00;;
ZARAGOSA EXT;KAGITINGAN-DEL PAN;CR;26,250.00;;
ZARAGOSA EXT;KAGITINGAN-DEL PAN;RR;7,560.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  20 ZONE  2;;;;
KAGITINGAN;ZARAGOZA-SLIP ZERO;RR;3,780.00;;
MARCOS ROAD;ZARAGOSA-BONIFACIO V;CR;26,250.00;;
ZARAGOSA EXT;KAGITINGAN-MARCOS RD;CR;26,250.00;;
ZARAGOSA EXT;KAGITINGAN-MARCOS RD;RR;7,560.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  25 ZONE  2;;;;
ASUNCION;ZARAGOSA-ZABALA;CR;39,375.00;;
CAMBA;ASUNCION-WAGAS;RR;6,300.00;;
HINAHON;ZARAGOSA-ZABALA;RR;3,780.00;;
MASIKAP;ZARAGOSA-ZABALA;RR;3,780.00;;
MATIISIN;ZARAGOSA-ZABALA;RR;3,780.00;;
MATIMTIMAN;ZARAGOSA-ZABALA;RR;3,780.00;;
PADRE RADA;ZARAGOSA-ZABALA;CR;27,300.00;;
SGT. MABAGOS ST.;WAGAS-ASUNCION;RR;3,780.00;;
WAGAS;ZARAGOSA-ZABALA;RR;3,780.00;;
ZABALA;ASUNCION-WAGAS;RR;4,340.00;;
ZARAGOSA EXT;ASUNCION-WAGAS;CR;26,250.00;;
ZARAGOSA EXT;ASUNCION-WAGAS;RR;7,560.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  26 ZONE  2;;;;
ASUNCION;ZABALA-P HERRERA;CR;39,375.00;;
BALAGTAS;ZABALA-P HERRERA;RR;3,780.00;;
HERRERA;ASUNCION-WAGAS;CR;31,500.00;;
LAKANDULA ST.;WAGAS-ASUNCION;RR;3,780.00;;
MARIA PAYO;ZABALA-P HERRERA;RR;5,040.00;;
PAGHANAPIN;ZABALA-P HERRERA;RR;3,780.00;;
R MABAGOS;ZABALA-P HERRERA;RR;3,780.00;;
WAGAS;ZABALA-P HERRERA;RR;3,780.00;;
ZABALA;ASUNCION-WAGAS;RR;4,340.00;;
ALL OTHER STREETS;;CR;31,500.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  28 ZONE  2;;;;
BALAGTAS;ZARAGOZA-P HERRERA;RR;3,780.00;;
HERRERA;KASIPAGAN-KAGITINGAN;RR;3,780.00;;
HINAHON;ZARAGOZA-P HERRERA;RR;3,780.00;;
KAGITINGAN;ZARAGOZA-P HERRERA;RR;3,780.00;;
LAKANDULA ST.;KAGITINGAN-LUALHATI;RR;3,780.00;;
LUALHATI ST.;LANKANDULA-ZARAGOZA;RR;3,780.00;;
MARIA PAYO;ZARAGOZA-P HERRERA;RR;4,032.00;;
MASIKAP;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIISIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
MATIMTIMAN;ZARAGOZA-P HERRERA;RR;3,780.00;;
MITHI;M. HERRERA-ZARAGOZA;RR;3,780.00;;
PADRE RADA;ZARAGOZA-P HERRERA;RR;3,780.00;;
PAGHANAPIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
R MABAGOS;ZARAGOZA-P HERRERA;RR;3,780.00;;
ZABALA;ZARAGOZA-P HERRERA;RR;4,340.00;;
ZARAGOZA;KASIPAGAN-KAGITINGAN;CR;39,375.00;;
ZARAGOZA;KASIPAGAN-KAGITINGAN;RR;5,040.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;3,276.00;;
BARANGAY:;BARANGAY  29 ZONE  2;;;;
