RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
EISENHOWER;MUNICIPAL CEMETERY;CR;8,500.00;;
FILMORE;EISENHOWER;RR;8,100.00;;
FLORIDA;CONNECTICUR;RR;8,100.00;;
GARFIELD;WILSON   JACKSON;RR;8,100.00;;
GRANT;IMM CONCEPCION ACADE;RR;7,500.00;;
HARDING;WILSON ST;RR;8,100.00;;
HARRISON;MUNICPAL CEMETERY;RR;7,250.00;;
HARRISON;MUNICPAL CEMETERY;CR;8,000.00;;
HAYES;BUCHANAN;RR;8,100.00;;
ILLINOIS;;RR;9,050.00;;
JACKSON;CARDINAL SANTOS HOSPITAL;RR;9,050.00;;
JEFFERSON;WILSON ST;RR;9,050.00;;
JOHNSON;MUNICPAL CEMETERY;RR;7,250.00;;
JOHNSON;MUNICPAL CEMETERY;CR;8,000.00;;
KENNEDY;ORTIGAS AVE;RR;9,050.00;;
LA SALLE;;RR;9,050.00;;
LINCOLN;WILSON ST;RR;9,050.00;;
MADISON;;RR;9,050.00;;
MCKINLEY;MONTESSORI CTR.;RR;9,050.00;;
MCKINLEY;MONTESSORI CTR.;CR;10,500.00;;
MISSOURI;;RR;9,050.00;;
ORTIGAS AVE;;RR;10,050.00;;
ORTIGAS AVE;;CR;12,000.00;;
POLK;EISENHOWER ANNAPOLIS;RR;9,050.00;;
POTSDAM;;RR;9,050.00;;
PURDUE;;RR;9,050.00;;
ROOSEVELT;;RR;8,100.00;;
TAFT;WILSON JEFFERSON;RR;8,100.00;;
TYLER;MUNICIPAL CEMETERY;RR;7,250.00;;
TYLER;MUNICIPAL CEMETERY;CR;8,000.00;;
VAN BUREN;SATOLAN ROAD;RR;8,100.00;;
WASHINGTON;XAVIER SCH MG CHRCH;RR;8,100.00;;
WILSON;DON MIGUEL ORTIGAS;RR;7,500.00;;
WILSON;DON MIGUEL ORTIGAS;CR;12,000.00;;
XAVIER;;RR;7,500.00;;
XAVIER;;CR;12,000.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;12,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
AVALON COND;XAVIER ORTIGAS;RC;10,000.00;;
CONTINENTAL COURT;ANNAPOLIS;RC;14,500.00;;
CONTINENTAL PLAZA;ANNAPOLIS;RC;14,500.00;;
GRACE BUILDING;XAVIER ORTIGAS;RC;11,000.00;;
GREENHILLS CITE CTR.;;RC;11,000.00;;
MERCEDEZ I BLDG;ANNAPOLIS;RC;14,500.00;;
MIDLAND PARK MANOR;XAVIER ORTIGAS;RC;10,000.00;;
MONTEVERDE MANSION;XAVIER ORTIGAS;RC;10,000.00;;
STATE FINANCING;ANNAPOLIS;RC;12,000.00;;
SUNNYVALE COND;XAVIER ORTIGAS;RC;11,000.00;;
SUNRISE COND;XAVIER ORTIGAS;RC;10,000.00;;
VASQUEZ MADRIGAL;ANNAPOLIS;RC;12,000.00;;
VICTORIA COND;ANNAPOLIS;RC;14,500.00;;
GROUND FLOORS CONDO;;CC;14,500.00;;
RICHBELT TERRACES;ANNAPOLIS;RC;14,500.00;;
PROVIDENCE CONDO;ANNAPOLIS;RC;14,500.00;;
BARANGAY:;HALO HALO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
IBUNA;P GUEVARRA;RR;3,300.00;;
MAHINHIN;;RR;2,750.00;;
MARNE;;RR;2,600.00;;
P GUEVARRA;;RR;3,850.00;;
P GUEVARRA;;CR;4,480.00;;
SANTOLAN ROAD;;RR;3,500.00;;
SANTOLAN ROAD;;CR;4,250.00;;
VIOLA;;RR;2,750.00;;
ALL OTHER STREETS;;RR;2,600.00;;
ALL OTHER STREETS;;CR;4,000.00;;
BARANGAY:;ISABELITA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
CARRIEDO;PINAGLABANAN ELEM;RR;2,750.00;;
DUNGO;PINAGLABANAN ST JOHN;RR;2,750.00;;
EMILIO HUBILLA;;RR;3,450.00;;
P SANTOS;PINAGLABANAN ST JOHN;RR;2,750.00;;
PEREY;PINAGLABANAN ST JOHN;RR;2,750.00;;
PINAGLABANAN;PINAGLABANAN SHRINE;RR;3,630.00;;
PINAGLABANAN;PINAGLABANAN SHRINE;CR;4,250.00;;
ALL OTHER STREETS;;RR;2,750.00;;
ALL OTHER STREETS;;CR;3,950.00;;
BARANGAY:;KABAYANAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A BONIFACIO;BLUMENTRITT;RR;2,800.00;;
A DIEGO;BLUMENTRITT;RR;2,800.00;;
A RITA;;RR;2,800.00;;
BLUMENTRITT;;RR;5,000.00;;
BLUMENTRITT;;CR;5,900.00;;
F MANALO;STA LUCIA  E S;RR;2,800.00;;
G SORIANO;BLUMENTRITT;RR;2,800.00;;
I FRANCISCO;;RR;2,800.00;;
R FERNANDEZ;;RR;2,600.00;;
T CLAUDIO;AQUINAS SCH;RR;2,800.00;;
T CLAUDIO;AQUINAS SCH;X;2,600.00;;
V ANGELES;BLUMENTRITT;RR;2,800.00;;
ALL OTHER STREETS;;RR;2,350.00;;
ALL OTHER STREETS;;CR;5,600.00;;
BARANGAY:;LITTLE BAGUIO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ALVIR;WHITE CROSS J SANTOS;RR;3,300.00;;
BARASOAIN;V P IBANEZ;RR;3,800.00;;
BIAK NA BATO;J A SANTOS DRIVE;RR;3,950.00;;
CALDERON;;RR;3,950.00;;
E JACINTO;;RR;3,800.00;;
