RDO:;RDO NO. 80 - MANDAUE CITY;;;;
LABOGON-PAKNA-AN;JAYME-PAKNA-AN-LABOGON;I;1,000.00;;
LABOGON-PAKNA-AN;JAYME-PAKNA-AN-LABOGON;CR;1,000.00;;
MA ANTONIA SUBD;;RR;900.00;;
S JAYME STREET;CEBU NORTH RD-BOUNDARY;RR;800.00;;
S JAYME STREET;CEBU NORTH RD-BOUNDARY;I;1,000.00;;
S JAYME STREET;CEBU NORTH RD-BOUNDARY;CR;1,000.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;I;750.00;;
ALL OTHER STREETS;;CR;750.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;LOOC;;;;
ANTIPOLO;A MABINI-END;RR;500.00;;
ANTIPOLO;A MABINI-END;I;800.00;;
ANTIPOLO;A MABINI-END;CR;800.00;;
MABINI;PLARIDEL-SAN ANTONIO;RR;1,500.00;;
MABINI;PLARIDEL-SAN ANTONIO;I;1,500.00;;
MABINI;PLARIDEL-SAN ANTONIO;CR;1,500.00;;
PLARIDEL;SEAWALL-A MABINI;RR;1,500.00;;
PLARIDEL;SEAWALL-A MABINI;I;1,500.00;;
PLARIDEL;SEAWALL-A MABINI;CR;1,500.00;;
PLARIDEL;A MABINI-SAN ANTONIO;RR;500.00;;
PLARIDEL;A MABINI-SAN ANTONIO;I;500.00;;
SAN ANTONIO;;RR;500.00;;
SAN ANTONIO;;I;600.00;;
SAN ANTONIO;;CR;600.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;600.00;;
ALL OTHER STREETS;;CR;600.00;;
SALT BEDS;;A;1,000.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;MAGUIKAY;;;;
ALBANO STREET;;RR;800.00;;
ALBANO STREET;;I;1,000.00;;
ALBANO STREET;;CR;1,000.00;;
CEBU NORTH ROAD;ML QUEZON-BUTUANON BR;RR;2,000.00;;
CEBU NORTH ROAD;ML QUEZON-BUTUANON BR;I;3,000.00;;
CEBU NORTH ROAD;ML QUEZON-BUTUANON BR;CR;3,000.00;;
CEBU NORTH ROAD;ML QUEZON-BAKILID RD;CR;3,000.00;;
CEBU NORTH ROAD;ML QUEZON-BAKILID RD;RR;2,000.00;;
CEBU NORTH ROAD;ML QUEZON-BAKILID RD;I;3,000.00;;
ML QUEZON AVENUE;CEBU NORTH RD-TINGUB MAGUI;RR;1,400.00;;
ML QUEZON AVENUE;CEBU NORTH RD-TINGUB MAGUI;I;2,000.00;;
ML QUEZON AVENUE;CEBU NORTH RD-TINGUB MAGUI;CR;2,000.00;;
MAGUIKAY-CANSUNTINGAN;MAGUIKAY-V ALBANO;RR;800.00;;
MAGUIKAY-CANSUNTINGAN;MAGUIKAY-V ALBANO;I;1,000.00;;
MAGUIKAY-CANSUNTINGAN;MAGUIKAY-V ALBANO;CR;1,000.00;;
MAGUIKAY-FEEDER ROAD;ALBANO-SUDLON ROAD;RR;500.00;;
MAGUIKAY-FEEDER ROAD;ALBANO-SUDLON ROAD;I;1,000.00;;
MAGUIKAY-FEEDER ROAD;ALBANO-SUDLON ROAD;CR;1,000.00;;
NURSERY ROAD;CEBU NORTH RD-MAG FEEDER;RR;500.00;;
NURSERY ROAD;CEBU NORTH RD-MAG FEEDER;I;1,000.00;;
NURSERY ROAD;CEBU NORTH RD-MAG FEEDER;CR;1,000.00;;
SUDLON ROAD;CEBU NORTH RD-MAG FEEDER;RR;500.00;;
SUDLON ROAD;CEBU NORTH RD-MAG FEEDER;I;1,000.00;;
SUDLON ROAD;CEBU NORTH RD-MAG FEEDER;CR;1,000.00;;
TINGUB-MAGUIKAY ROAD;QUEZON-BUTUANON RIVER;RR;5,000.00;;
TINGUB-MAGUIKAY ROAD;QUEZON-BUTUANON RIVER;I;1,000.00;;
TINGUB-MAGUIKAY ROAD;QUEZON-BUTUANON RIVER;CR;1,000.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;1,000.00;;
ALL OTHER STREETS;;CR;1,000.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;MANTUYONG;;;;
A DEL ROSARIO AVENUE;GEN LUNA STREET;CR;2,000.00;;
A DEL ROSARIO AVENUE;GEN LUNA STREET;RR;1,000.00;;
A DEL ROSARIO AVENUE;GEN LUNA STREET;I;2,000.00;;
CENIZA STREET;;CR;3,100.00;;
CENIZA STREET;;RR;2,000.00;;
CENIZA STREET;;I;3,000.00;;
ECHIVARRE;;CR;1,000.00;;
ECHIVARRE;;RR;500.00;;
ECHIVARRE;;I;1,000.00;;
GEN LUNA STREET;;CR;1,000.00;;
GEN LUNA STREET;;RR;800.00;;
GEN LUNA STREET;;I;1,000.00;;
URDANETA;;CR;1,000.00;;
URDANETA;;RR;800.00;;
URDANETA;;I;1,000.00;;
ALL OTHER STREETS;;CR;1,000.00;;
ALL OTHER STREETS;;RR;400.00;;
ALL OTHER STREETS;;I;1,000.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;OPAO;;;;
ALANG ALANG-OPAO ROAD;G OUANO-END;RR;850.00;;
ALANG ALANG-OPAO ROAD;G OUANO-END;I;1,000.00;;
ALANG ALANG-OPAO ROAD;G OUANO-END;CR;1,000.00;;
ALANG ALANG-UMAPAD;G OUANO BOUNDARY;RR;600.00;;
ALANG ALANG-UMAPAD;G OUANO BOUNDARY;I;1,000.00;;
ALANG ALANG-UMAPAD;G OUANO BOUNDARY;CR;1,000.00;;
G OUANO STREET;ALANG-ALANG;RR;1,400.00;;
G OUANO STREET;ALANG-ALANG;I;1,400.00;;
G OUANO STREET;ALANG-ALANG;CR;1,400.00;;
G OUANO STREET;ALNG ALANG-OPAO ROAD;RR;850.00;;
G OUANO STREET;ALNG ALANG-OPAO ROAD;I;1,000.00;;
G OUANO STREET;ALNG ALANG-OPAO ROAD;CR;1,000.00;;
