RDO:;RDO NO. 9 - LA TRINIDAD, BENGUET;;;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;AMLIMAY;;;;
ALL LOTS;ALONG BUGUIAS-KABAYAN ROAD;RR;42.00;;
ALL LOTS;POBLACION ROAD-BISOCOL;RR;42.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;BACULONGAN NORTE;;;;
ALL LOTS;LOO-MODAYAN;RR;92.00;;
ALL LOTS;MODAYAN-BAD-AYAN;RR;77.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;BACULONGAN SUR;;;;
ALL LOTS;ABATAN-BUGUIAS NAT'L ROAD;RR;77.00;;
ALL LOTS;BADAYAN-ALAPANG;RR;77.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;BANGAO;;;;
ALL LOTS;NATIONAL ROAD-COTCOT;RR;50.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;BUYACAOAN;;;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;CALAMAGAN;;;;
ALL LOTS;;RR;30.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;CATLUBONG;;;;
ALL LOTS;;RR;30.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;LENGAOAN;;;;
ALL LOTS;SLONG NATIONAL ROAD-BAYACAOAN;RR;77.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;LOO;;;;
ALL LOTS;ALONG NATIONAL ROAD;RR;95.00;;
ALL LOTS;MODAYAN PROPER;RR;90.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;NATUBLENG;;;;
ALL LOTS;ALONG NATIONAL ROAD;CR;92.00;;
;;RR;92.00;;
;ALONG BARANGAY ROAD;RR;92.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;ALONG NAT'L RD-ALAPANG PROPER;CR;300.00;;
ALL LOTS;ALONG NAT'L RD-ALAPANG PROPER;RR;90.00;;
ALL LOTS;TOKING-POBLACION;RR;100.00;;
ALL LOTS;TOKING-KAPANGANGAN;RR;92.00;;
ALL LOTS;TOKING-KAPANGANGAN;CR;105.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;SOBANG;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;77.00;;
ALL LOTS;ALAPANG-TOKING;RR;77.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;ALL OTHER BARANGAYS  (AGRICULTURAL LAND);;;;
ALL LOTS;;A1;8.45;;
ALL LOTS;;A2;5.20;;
ALL LOTS;;A3;3.50;;
ALL LOTS;;A25;6.70;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;15.30;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;6.80;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;AMPUCAO;;;;
AMPUCAO PROPER;;RR;80.00;;
GOLDMILL PROJ. 745;;RR;70.00;;
MANGANESE;;RR;70.00;;
NAGAWA;;RR;70.00;;
UD-UDAN;;RR;70.00;;
ALL OTHER LOTS;ALONG NATIONAL ROAD;RR;70.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;DALUPIRIP;;;;
ASIN;;RR;40.00;;
BANTIC;;RR;20.00;;
CABRITAN;;RR;20.00;;
DALUPIRIP PROPER;;RR;40.00;;
LAWIMGUENTIWANG;;RR;20.00;;
TABU;;RR;20.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;GUMATDANG;;;;
ALUMIT;;RR;80.00;;
DALISAY;;RR;80.00;;
DOCOT;;RR;80.00;;
RIVERSIDE;;RR;80.00;;
KAWA;;RR;80.00;;
MUYOT;;RR;80.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;LOACAN;;;;
ADONOT;;RR;50.00;;
ANTAMOK FIRST GATE;;RR;80.00;;
ANTEG-IN;;RR;100.00;;
GUISIT;;RR;50.00;;
LA TRINIDAD BDRY;;RR;100.00;;
LIANG;;RR;100.00;;
LOAKAN PROPER;;RR;100.00;;
LUNETA;;RR;100.00;;
MAROOC;;RR;100.00;;
SABKEL;;RR;100.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;POBLACION;;;;
GOLDFIELD;;RR;120.00;;
ILOD;;RR;120.00;;
LUCBUBAN;;RR;120.00;;
POBLACION PROPER;;RR;150.00;;
SUPANG;;RR;150.00;;
TWIN RIVER;;RR;120.00;;
VIRAC;;RR;120.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;TINONGDAN;;;;
BAGUENG;;RR;40.00;;
BINGA;;RR;40.00;;
KEWANG;;RR;40.00;;
LUZOD;;RR;20.00;;
MAMBOLO;;RR;40.00;;
OLING;;RR;20.00;;
PITICAN;;RR;40.00;;
SALAPSAP;;RR;40.00;;
TINOGDAN;;RR;40.00;;
TINONGDAN PROPER;;RR;40.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;TUDING;;;;
ALPA-PCM SUBD;;RR;1,300.00;;
ANTAMOK TRAIL;;RR;100.00;;
BINANGA;;RR;200.00;;
BUA;;RR;100.00;;
MANGGA;;RR;200.00;;
MONTEPINO SUBD;;RR;575.00;;
MONTERAZA SUBD;;RR;500.00;;
TUDING PROPER;;RR;1,500.00;;
TUDING SLIDE;;RR;200.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;UCAB;;;;
ANTAMOK FIRST GATE;;RR;80.00;;
ANTAMOK TRAM;;RR;70.00;;
BAGTO;;RR;100.00;;
KEYSTONE;;RR;40.00;;
MALASIN/GOLD CREEK;;RR;30.00;;
UCAB PROPER;;RR;70.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;VIRAC;;;;
ACUAPAIN;;RR;100.00;;
BATUANG;;RR;100.00;;
BOBON;;RR;250.00;;
KAMANGGA-AN;;RR;100.00;;
KIAS PROPER;;RR;250.00;;
TIMBERYARD;;RR;250.00;;
VIRAC PROPER;;RR;250.00;;
CITY/ MUNICIPALITY:;ITOGON;;;;
BARANGAY:;ALL BARANGAYS (AGRICULTURAL LAND);;;;
ALL OTHER LOTS;ALONG NATIONAL ROAD;A1;10.20;;
ALL OTHER LOTS;ALONG NATIONAL ROAD;A2;5.20;;
ALL OTHER LOTS;ALONG NATIONAL ROAD;A3;3.40;;
ALL OTHER LOTS;ALONG NATIONAL ROAD;A25;3.45;;
ALL OTHER LOTS;VEGETABLE LAND WITH IRRIGATION;A47;10.25;;
ALL OTHER LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;6.00;;
ALL OTHER LOTS;ALONG PROVINCIAL ROAD;A1;12.00;;
ALL OTHER LOTS;ALONG PROVINCIAL ROAD;A2;6.00;;
ALL OTHER LOTS;ALONG PROVINCIAL ROAD;A3;4.00;;
ALL OTHER LOTS;ALONG PROVINCIAL ROAD;A25;4.00;;
ALL OTHER LOTS;VEGETABLE LAND WITH IRRIGATION;A47;12.00;;
ALL OTHER LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;4.00;;
ALL OTHER LOTS;INTERIOR;A1;9.00;;
ALL OTHER LOTS;INTERIOR;A2;5.00;;
ALL OTHER LOTS;INTERIOR;A3;3.00;;
ALL OTHER LOTS;INTERIOR;A25;3.00;;
ALL OTHER LOTS;VEGETABLE LAND WITH IRRIGATION;A47;9.00;;
ALL OTHER LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;3.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;ADAOAY;;;;
ALL LOTS;BATTENGEN ANENGAN;RR;90.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;ANCHOKEY;;;;
ALL LOTS;;RR;20.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;BALLAY;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;BASHOY;;;;
ALL LOTS;;RR;60.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;BATAN;;;;
ALL LOTS;;CR;250.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;DUACAN;;;;
ALL LOTS;;CR;140.00;;
ALL LOTS;;RR;90.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;EDDET;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;GUSARAN;;;;
ALL LOTS;;RR;90.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;KABAYAN BARRIO;;;;
ALL LOTS;;RR;90.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;LUSOD;;;;
ALL LOTS;;RR;10.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;PACSO;;;;
HALSEMA ROAD;KM.54-TIMBAC/PACSO JUNCT CHACDAN;RR;70.00;;
PACSO PROPER;TIMBAC/CHACDAN PROPER/ABOYON;RR;60.00;;
PACSO PROPER;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;POBLACION CENTRAL;;;;
ALL LOTS;;RR;90.00;;
ALL LOTS;;CR;140.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;TAWANGAN;;;;
ALL LOTS;;RR;20.00;;
ALL LOTS;INTERIOR;RR;10.00;;
CITY/ MUNICIPALITY:;KABAYAN;;;;
BARANGAY:;ALL BARANGAYS (AGRICULTURAL LAND);;;;
ALL LOTS;ALONG NATIONAL ROAD;A1;21.00;;
ALL LOTS;;A2;9.00;;
ALL LOTS;;A3;6.00;;
ALL LOTS;;A25;5.25;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;15.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;9.00;;
ALL LOTS;ALONG PROVINCIAL ROAD;A1;14.00;;
ALL LOTS;ALONG PROVINCIAL ROAD;A2;6.00;;
ALL LOTS;ALONG PROVINCIAL ROAD;A3;4.00;;
ALL LOTS;ALONG PROVINCIAL ROAD;A25;6.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;10.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;6.00;;
ALL LOTS;INTERIOR;A1;11.00;;
ALL LOTS;INTERIOR;A2;5.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A25;5.00;;
ALL LOTS;INTERIOR;A47;8.00;;
ALL LOTS;INTERIOR;A47;5.00;;
CITY/ MUNICIPALITY:;KAPANGAN;;;;
BARANGAY:;POBLACION CENTRAL;;;;
NATIONAL ROAD;LABUEG JUNCTION-CATDAY JUNCTION;RR;75.00;;
NATIONAL ROAD;LOMON PROPER-CENTRAL KAPANGAN;RR;75.00;;
NATIONAL ROAD;LABUEG JUNCTION-LOMBOY SCHOOL;RR;60.00;;
NATIONAL ROAD;CATDAY JUNCTION-AMBURAYAN BRIDG;RR;60.00;;
NATIONAL ROAD;AMBURAYAN BRIDGE-PANTAL BONENG;RR;60.00;;
NATIONAL ROAD;CENTRAL KAPANGAN-AG-AGAT JUNCTI;RR;45.00;;
NATIONAL ROAD;CATDAY JUNCTION-BELIS;RR;45.00;;
NATIONAL ROAD;AMBURAYAN BR-KIBUNGAN-KAPANGAN;RR;45.00;;
NATIONAL ROAD;AG-AGAT JUNCTION-GASWILING;RR;30.00;;
NATIONAL ROAD;AG-AGAT JUNCTION-TIBALBAL JUNCTIO;RR;30.00;;
NATIONAL ROAD;TIBALBAL JUNCTION-DAO-ES;RR;30.00;;
NATIONAL ROAD;TIBALBAL JUNCTION-TIMOK;RR;20.00;;
NATIONAL ROAD;INTERIOR;RR;15.00;;
CITY/ MUNICIPALITY:;KAPANGAN;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
ALL LOTS;ALONG THE ROAD;RR;30.00;;
CITY/ MUNICIPALITY:;KAPANGAN;;;;
BARANGAY:;ALL BARANGAYS (AGRICULTURAL LAND);;;;
ALL LOTS;ALONG NATIONAL ROAD;A1;10.20;;
ALL LOTS;ALONG NATIONAL ROAD;A2;8.50;;
ALL LOTS;ALONG NATIONAL ROAD;A3;3.45;;
ALL LOTS;ALONG NATIONAL ROAD;A47;8.50;;
ALL LOTS;ALONG NATIONAL ROAD;A25;3.50;;
ALL LOTS;ALONG PROVINCIAL ROAD;A1;7.25;;
ALL LOTS;;A2;6.00;;
ALL LOTS;;A3;2.45;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;6.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;2.50;;
ALL LOTS;INTERIOR;RR;20.00;;
ALL LOTS;;A1;5.75;;
ALL LOTS;;A2;5.00;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A47;5.00;;
ALL LOTS;;A25;2.00;;
ALL LOTS;;;;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;POBLACION;;;;
BAGUIO-BONTOC NAT'L ROAD;ATOK-KIBUNGAN BDRY-CALASIPAN;RR;250.00;;
BAGUIO-BONTOC NAT'L ROAD;NANAGTO-NATUBLENG & PAKPAKITAN-;RR;250.00;;
BAGUIO-BONTOC NAT'L ROAD;SINIPSIP;CR;300.00;;
BAGUIO-KIBUNGAN NAT'L RD.;SINABOGAN-SADDLE-SABLANG;RR;60.00;;
BAGUIO-KIBUNGAN NAT'L RD.;IPIT-POBLACION KIBUNGAN;RR;60.00;;
BAGUIO-KIBUNGAN NAT'L RD.;POBLACION-TANAP AMBALIDANG;RR;60.00;;
NATUBLENG PROV'L ROAD;NATUBLENG JUNCTION-TALIBAY-OCJ;RR;60.00;;
PROVINCIAL ROAD;;RR;50.00;;
PROVINCIAL ROAD;;CR;500.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;LUBO;;;;
ALL LOTS;;RR;80.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;MADAYMEN;;;;
PROVINCIAL ROAD;PAKPAKITAN-NANGAYANAN &;RR;60.00;;
PROVINCIAL ROAD;MADAYMEN;;;;
PROVINCIAL ROAD;MADAYMEN JUNCTION-TUNGEY;RR;60.00;;
PROVINCIAL ROAD;MADAYMEN JUNCTION-MASALA;RR;60.00;;
PROVINCIAL ROAD;NALICOB-TAGPAYA;RR;60.00;;
PROVINCIAL ROAD;SINIPSIP-OSDONG;RR;60.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;PALINA;;;;
PROVINCIAL ROAD;BAKUN BDRY-PALINA;RR;60.00;;
PROVINCIAL ROAD;PALINA-LIPUCAN;RR;30.00;;
PROVINCIAL ROAD;PALINA-MOLING;RR;30.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;SAGPAT;;;;
PROVINCIAL ROAD;SAGPAT JUNCTION-SAGPAT PROPER;RR;40.00;;
PROVINCIAL ROAD;SAGPAT PROPER-LOBO;RR;40.00;;
PROVINCIAL ROAD;LOBO-MASALA;RR;40.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAYS:;BADEO and TACADANG;;;;
ALL LOTS;ALONG THE ROAD;RR;60.00;;
ALL LOTS;INTERIOR;RR;50.00;;
CITY/ MUNICIPALITY:;KIBUNGAN;;;;
BARANGAY:;ALL BARANGAYS (AGRICULTURAL LAND);;;;
ALL LOTS;ALONG NATIONAL ROAD;A1;4.00;;
ALL LOTS;ALONG NATIONAL ROAD;A2;3.00;;
ALL LOTS;ALONG NATIONAL ROAD;A3;2.00;;
ALL LOTS;ALONG NATIONAL ROAD;A25;2.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;6.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;4.00;;
ALL LOTS;ALONG PROVINCIAL ROAD;A1;1.60;;
