RDO:;RDO NO. 49 - NORTH MAKATI;;;Formerly (RDO. 32 Makati East);
CORONADO;J. P. RIZAL;RR;1,300.00;;
CORONADO;;RR;1,300.00;;
ESTRELLA;;RR;1,300.00;;
GONZALES;;RR;1,300.00;;
GUMAMELA;;RR;1,300.00;;
ILANG ILANG;;RR;1,300.00;;
JASMIN;J. P. RIZAL;RR;700.00;;
J. P. RIZAL;J. P. RIZAL;CR;1,200.00;;
LIRIO;;RR;700.00;;
LIRIO APT.;J. P. RIZAL;RC;5,000.00;;
MILEGUAS;J. P. RIZAL;RR;700.00;;
PROGRESO I   II;;RR;1,300.00;;
ROSAL;;RR;1,300.00;;
TRINIDAD;;RR;1,300.00;;
BARANGAY:;KASILAWAN;;;;
CAGAYAN;;RR;700.00;;
CARIDAD;;RR;700.00;;
D. BENITO;;RR;700.00;;
D. QUIZON;J. P. RIZAL;RR;700.00;;
DEL PAN;;RR;700.00;;
DOMINGO;;RR;700.00;;
ESPERANZA;;RR;700.00;;
EVANGELISTA;;RR;700.00;;
F. PASCUA;;RR;700.00;;
FRANCISCO;;RR;700.00;;
H. SANTOS;J. P. RIZAL;RR;700.00;;
NUNEZ;;RR;700.00;;
NUNEZ MENDOZA;J. P. RIZAL;RR;700.00;;
PAGKAKAISA;J. P. RIZAL;RR;700.00;;
BARANGAY:;LA PAZ;;;;
A. SORIANO;;RR;800.00;;
ABC;;RR;800.00;;
ABCD;;RR;800.00;;
BALAGTAS;Z. ROXAS;RR;800.00;;
CABANELLA;;RR;800.00;;
CATON;;RR;800.00;;
CERVERA;;RR;800.00;;
DAVILA;;RR;800.00;;
DUMAS;;RR;800.00;;
EUREKA;;RR;800.00;;
FLOR DE LIZ;;RR;800.00;;
GODET;;RR;800.00;;
GUAM;;RR;800.00;;
HAWAII;;RR;800.00;;
METROP AVE.;;RR;800.00;;
MOLA;;RR;800.00;;
ONYX;;RR;800.00;;
P. RIVERA;Z. ROXAS;RR;800.00;;
P. TIRAD;;RR;800.00;;
SUNRISE;Z. ROXAS;RR;800.00;;
Z. ROXAS;;RR;800.00;;
BARANGAY:;OLIMPIA;;;EXCEPTIONS:1.   APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  NE - FRANCISCO ST., SACRAMENTO (FR. FRANCISCO TO SAN JACINTO)                  (FR SACRAMENTO TO J.B. ROXAS), J.B. ROXAS (FR. SAN JACINTO                  TO BERNARDINO, SAN BERNARDO (FR. J.B. ROXAS TO                   LEGASPI), LEGASPI (FR. SAN BERNARDINO TO D OLIMAN).                  D. OLIMAN (FR. LEGASPI TO IRIGA), IRIGA  (FR. D. OLIMAN TO                  BALER)B.  SE - BALER (FR. IRIGA TO PILILIA, PILILIA (FR. BALER TO IMELDAC.  SW - IMELDA AVE.D.  NW - SOUTH AVENUE;
ABEJA;;RR;1,000.00;;
AP REYES;;RR;1,000.00;;
BALER;;RR;1,000.00;;
BANAHAW;J.P. RIZAL;RR;1,000.00;;
BARASAOIN;;RR;1,000.00;;
BIAK NA BATO;;RR;1,000.00;;
BINAKOD;;RR;1,000.00;;
COLMENA;;RR;1,000.00;;
ECONOMIA;;RR;1,000.00;;
EMIN;;RR;1,000.00;;
FORTUNA;;RR;900.00;;
HERADURA;;RR;900.00;;
HIPODROMO;;RR;900.00;;
HIPPODROMO;J.P. RIZAL;RR;900.00;;
HIWAGA;;RR;1,000.00;;
HONRADEZ;J.P. RIZAL;RR;900.00;;
HORMIGA;;RR;900.00;;
IMELDA AVE.;J.P. RIZAL;RR;900.00;;
INFANTA;;RR;900.00;;
J.P. RIZAL;J.P. RIZAL;CR;1,000.00;;
J.B. ROXAS;J.P. RIZAL;RR;900.00;;
LIWAYWAY;;RR;900.00;;
MAKILING;;RR;900.00;;
MAYON;;RR;900.00;;
NOVALICHES;J.P. RIZAL;RR;900.00;;
OBRERO;;RR;900.00;;
P. TAMO;;RR;900.00;;
PILILIA;J.P. RIZAL;RR;900.00;;
SAMAT;J.P. RIZAL;RR;900.00;;
SAMPAGUITA;;RR;900.00;;
SAN BERNARDINO;;RR;900.00;;
SAN DIEGO;J. P. RIZAL;RR;900.00;;
SAN FRANCISCO;;RR;900.00;;
SAN JACINTO;;RR;900.00;;
SAN JOAQUIN;;RR;900.00;;
SAN JOSE;;RR;900.00;;
SAN MATEO;;RR;900.00;;
SAN MAXIMO;;RR;900.00;;
SAN RAFAEL;J. P. RIZAL;RR;900.00;;
SO. AVENUE;J. P. RIZAL;RR;900.00;;
SANTA BARBARA;;RR;900.00;;
SANTA LUCIA;;RR;900.00;;
SULTANA;;RR;900.00;;
TALIBA;;RR;900.00;;
TRABAJO;J. P. RIZAL;RR;900.00;;
UNGUE;;RR;900.00;;
BARANGAY:;PINAGKAISAHAN;;;EXCEPTIONS:1.   APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  NE - AGUTAYA STB.  E - PINAGKAISAHAN CREEKC.  S - HONDA, HARVARD, QUINGA WITH HARVARD JOINING                HONDA AND QUIANG UAD.  NW - E. DE LOS SANTOS AVENUE;
AGUTAYA;;RR;1,200.00;;
BALAGBAG;;RR;1,200.00;;
BELLEZA;;RR;1,200.00;;
CANIGARAN;;RR;1,200.00;;
CORPUZ;;RR;1,200.00;;
CUYO;EDSA;RR;1,200.00;;
ENSUENO;EDSA;RR;1,200.00;;
ERAN;;RR;1,200.00;;
GRACIA;;RR;1,200.00;;
HARVARD;EDSA;RR;1,200.00;;
HONDA;EDSA;RR;1,200.00;;
IMELDA;EDSA;RR;1,200.00;;
JERVOIS;;RR;1,200.00;;
LIMBO;;RR;1,200.00;;
NATIVE;;RR;1,200.00;;
OTON;;RR;1,200.00;;
PINOS;;RR;1,200.00;;
QUINGUA;EDSA;RR;1,200.00;;
TOLENTINO;EDSA;RR;1,200.00;;
BARANGAY:;POBLACION;;;EXCEPTIONS:1.   APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  NE - PASIG RIVERB.  SE - E. ZOBEL ST. EXTENDING TO PASIG RIVERC.  SW - S. OSMENA STD.  NW - F. ZOBEL ST. EXTENDING TO PASIG RIVER;
A. BONIFACIO;P. BURGOS;RR;1,200.00;;
A. SPRING;;RR;1,200.00;;
AGNO;;RR;1,200.00;;
ALBERT;;RR;1,200.00;;
ALFONSO;;RR;1,200.00;;
ALGIER;;RR;1,200.00;;
ANGONO;J. P. RIZAL;RR;1,200.00;;
ANTIPOLO;P. BURGOS;RR;1,200.00;;
ANZA;;RR;1,200.00;;
AURORA;MAKATI AVE.;RR;1,200.00;;
BADAYOS;;RR;1,200.00;;
BONIFACIO;;RR;1,200.00;;
BUENCAMINO;P. BURGOS;RR;1,200.00;;
BUENCAMINO;;RR;1,200.00;;
C.M. GUERRERO;;RR;1,200.00;;
CACERES;;RR;1,200.00;;
CALDERON;;RR;1,200.00;;
CARDONA;;RR;1,200.00;;
CARMEN;;RR;1,200.00;;
D. OLIMAN;;RR;1,200.00;;
DAPO;;RR;1,200.00;;
DON PEDRO;P. BURGOS;RR;1,200.00;;
DONA EPIFANIA;;RR;1,200.00;;
DURBAN;;RR;1,200.00;;
EDUQUE;;RR;1,200.00;;
ENRIQUEZ;;RR;1,200.00;;
F. ZOBEL;REPOSO;RR;1,200.00;;
FATIMA;P. BURGOS;RR;1,200.00;;
FELIPE;;RR;1,200.00;;
GABALDON;J.P. RIZAL;RR;1,200.00;;
GAYCO;;RR;1,200.00;;
GEN. LUNA;;RR;1,200.00;;
GLORIA JACOBO;P. BURGOS;RR;1,200.00;;
GUANZON;;RR;1,200.00;;
GUERRERO;P. BURGOS;RR;1,200.00;;
HERMINIA;;RR;1,200.00;;
ILAYA;J. P. RIZAL;RR;1,200.00;;
IMELDA AVE.;;RR;1,200.00;;
J.D. VILLENA;;RR;1,200.00;;
J. RIZAL ILAYA;J. RIZAL;RR;1,200.00;;
JACOBO;J. P. RIZAL;RR;800.00;;
J.P. RIZAL;J. P. RIZAL;CR;1,000.00;;
JUNO;;RR;1,200.00;;
LOURDES;;RR;1,200.00;;
M.L. QUEZON;;RR;1,200.00;;
M. LAYUG;;RR;1,200.00;;
MABINI;;RR;1,200.00;;
MAKATI AVE.;;CR;2,500.00;;
MANALAC;;RR;1,200.00;;
MATILDE;J. P. RIZAL;RR;1,200.00;;
MECIANO;;RR;1,200.00;;
MERCADO;;RR;1,200.00;;
MORETA;;RR;1,200.00;;
MORONG;;RR;1,200.00;;
ORION;;RR;1,200.00;;
OSIAS;;RR;1,200.00;;
P. GOMEZ;;RR;1,200.00;;
P. ROXAS;;RR;1,200.00;;
PAGULAYAN;;RR;1,200.00;;
PALMA;;RR;1,200.00;;
PARAISO;;RR;1,200.00;;
POLARIS;;RR;1,200.00;;
QUINTOS;;RR;1,200.00;;
REPOSO;MAKATI AVE.;CR;1,300.00;;
S. OSMENA;;RR;1,200.00;;
SALAMANCA;;RR;1,200.00;;
SAN AGUSTIN;;RR;1,200.00;;
SAN JUAN;P. BURGOS;RR;1,200.00;;
SAN JUAN;;RR;1,200.00;;
SAN LUCAS;;RR;1,200.00;;
SAN MARCOS;MAKATI AVE.;RR;1,200.00;;
SAN MATEOS;;RR;1,200.00;;
SAN PABLO;;RR;1,200.00;;
SANTIAGO;REPOSO;RR;1,200.00;;
SINGIAN;;RR;1,200.00;;
VALDEZ;;RR;1,200.00;;
ZAMORA;;RR;1,200.00;;
BARANGAY:;SALCEDO VILLAGE;;;;
CORDOVA COND.;AYALA AVE. BUEND;RC;7,500.00;;
CORDOVA COND.;BUENDIA;RC;7,500.00;;
BARANGAY:;SINGCAMAS;;;EXCEPTIONS:1.   APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  N NE - J.P. Rizal (FR. DELPAN TO PASONG TIRAD)                     PASONG TIRAD (FR. J.P. RIZAL TO IMELDA AVE.)                     IMELDA AVE. (FR. PASONG TIRAD TO PASONG TAMO)B.  SE E - PASONG TAMO (FR. IMELDA AVE. TO SULCHUAGA ST.)                     SULCHUAGA ST. (FR. PASONG TAMO TO PRIMO RIVERA ST.)C.  SW - PRIMO RIVERA (FR. SULCHUAGA ST. TO   ARANDA ST.), ARANDA ST. (FR. PRIMO DE RIVERA TO PONTE ST.), PONTE ST. (FR. ARANDA TO DELPAN ST.)D.  NW   DELPAN ST. (MANILA-MAKATI BOUNDARY);
ARANDA;;RR;700.00;;
DAVILA;;RR;700.00;;
H. SANTOS;;RR;700.00;;
MASCARDO;;RR;700.00;;
MONTOJO;Z. ROXAS;RR;700.00;;
NAZARIO;;RR;700.00;;
P. RIVERA;Z. ROXAS;RR;700.00;;
PANDANAN;Z. ROXAS;RR;700.00;;
PASIG LINE;;RR;700.00;;
PONTE;;RR;700.00;;
SOLCHUAGA;;RR;700.00;;
SUNRISE;Z. ROXAS;RR;700.00;;
YAGUE;;RR;700.00;;
Z. ROXAS;;RR;700.00;;
BARANGAY:;SANTA CRUZ;;;;
DAVILA;;RR;800.00;;
H. SANTOS;;RR;800.00;;
JORDANA;;RR;800.00;;
KAKARONG;P. TAMO;RR;800.00;;
MANCHA VENECIA;P. TAMO;RR;800.00;;
MANDA;;RR;800.00;;
MASCARDO;;RR;800.00;;
MONTOJO;P. TAMO;RR;800.00;;
P. TAMO;;CR;1,800.00;;
PANAMA;;RR;800.00;;
PASIG LINE;;RR;800.00;;
PONTE;;RR;800.00;;
SAN VURTIO;;RR;800.00;;
SO. AVENUE;P. TAMO;RR;800.00;;
SOLCHUAGA;;RR;800.00;;
V. CRUZ EXT.;;RR;800.00;;
VISITA;;RR;800.00;;
YAGUE;P. TAMO;RR;800.00;;
ZAPOTE;P. TAMO;RR;800.00;;
BARANGAY:;TEJEROS;;;EXCEPTIONS:1.   APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  N NE - J.P. RIZAL (FR. DELPAN TO PASONG TIRAD)                     PASONG TIRAD (FR. J.P. RIZAL TO IMELDA AVE.)                     IMELDA AVE. (FR. PASONG TIRAD TO PASONG TAMO)B.  SE E  - PASONG TAMO (FR. IMELDA AVE. TO SULCHUAGA ST.)  SULCHUAGA ST. (FR. PASONG TAMO TO PRIMO RIVERA ST.)C.  SW  - PRIMO RIVERA ST. (FR. SULCHUAGA TO   ARANDA ST.)  ARANDA ST. (FR. PRIMO DE RIVERA TO PONTE ST.) PONTE ST. (FR. ARANDA TO DELPAN ST.)D.  NW  - DELPAN ST. (MANILA-MAKATI BOUNDARY);
ADORA;Z. ROXAS;RR;1,300.00;;
ALMAZAR;;RR;1,300.00;;
AP REYES;;RR;1,300.00;;
ARANDA;Z. ROXAS;RR;1,300.00;;
BARON;;RR;1,300.00;;
BATUTE;P. TAMO;RR;1,300.00;;
CRISTOBAL;;RR;1,300.00;;
DAVILA;;RR;1,300.00;;
EVANGELISTA;;RR;1,300.00;;
F. VARONA;J.P. RIZAL;RR;1,300.00;;
H. CRUZ;;RR;1,300.00;;
H. SANTOS;P. TAMO;RR;1,300.00;;
J. RIZAL;J.P. RIZAL;RR;1,300.00;;
MALOLOS;J.P. RIZAL;RR;1,300.00;;
MASANGKAY;;RR;1,300.00;;
MASCARDO;Z. ROXAS;RR;1,300.00;;
MASUKAL;;RR;1,300.00;;
METROP AVE.;IMELDA AVE.;RR;1,300.00;;
P. AGUILA;;RR;1,300.00;;
P. GOMEZ;;RR;1,300.00;;
P. RIVERA;P. TAMO;RR;1,300.00;;
P. RIVERA MONTOJO;P. TAMO;RR;1,300.00;;
P. TAMO;;CR;1,700.00;;
P. TIRAD;;RR;1,300.00;;
PASIG LINE;;RR;1,300.00;;
PONTE;J.P. RIZAL;RR;1,300.00;;
R. ALMARIO;;RR;1,300.00;;
SALITA;;RR;1,300.00;;
SANDICO;;RR;1,300.00;;
SOLCHUAGA;;RR;1,300.00;;
SOTELO;;RR;1,300.00;;
TEREA;;RR;1,300.00;;
YAGUE;J. P. RIZAL;RR;1,300.00;;
BARANGAY:;URDANETA VILLAGE;;;;
APT. RIDGE;;RR;1,800.00;;
AYALA AVE.;;RR;1,800.00;;
BEATERIO;;RR;1,800.00;;
CABILDO;P. DE ROXAS;RR;1,800.00;;
CERRADA;BUENDIA;RR;1,800.00;;
CRUZADA;P. ROXAS BUENDIA;RR;1,800.00;;
EDSA;;RR;1,800.00;;
FAROL;;RR;1,800.00;;
FONDA;;RR;1,800.00;;
MAKATI AVE.;;RR;1,800.00;;
P. DE ROXAS;;RR;1,800.00;;
REAL;;RR;1,800.00;;
RECOLETOS;AYALA AVE.;RR;1,800.00;;
SAN IGNACIO;;RR;1,800.00;;
SANTO DOMINGO;MAKATI AVE.;RR;1,800.00;;
SANTO TOMAS;MAKATI AVE.;RR;1,800.00;;
URDANETA AVE.;AYALA AVE.;RR;1,800.00;;
BARANGAY:;VALENZUELA;;;;
A. BONIFACIO;;RR;1,200.00;;
ANTIPOLO;;RR;1,200.00;;
ASUNCION;J.P. RIZAL;RR;1,200.00;;
BALER;;RR;1,200.00;;
CANDELARIA;J.P. RIZAL;RR;1,200.00;;
CONCEPCION;J. RIZAL;RR;1,200.00;;
D. OLIMAN;J.P. RIZAL;RR;1,200.00;;
ESPERANZA;J. RIZAL;RR;1,200.00;;
HORMIGA;J.P. RIZAL;RR;1,200.00;;
IRIGA;;RR;1,200.00;;
LEGASPI;;RR;1,200.00;;
MALOLOS;J.P. RIZAL;RR;1,200.00;;
MILAGROS;J. RIZAL;RR;1,200.00;;
OBRERO;;RR;1,200.00;;
OSMENA;;RR;1,200.00;;
PATEROS;J.P. RIZAL;RR;1,200.00;;
PENAFRANCIA;;RR;1,200.00;;
PILILIA;J.P. RIZAL;RR;1,200.00;;
REPOSO;;RR;1,200.00;;
TAGUIG;;RR;1,200.00;;
TANAY;J.P. RIZAL;RR;1,200.00;;
TERESA;J.P. RIZAL;RR;1,200.00;;
BARANGAY:;BANGKAL;;;;
APOLINARIO;;RR;800.00;;
GEN. CAILLES;;RR;800.00;;
GEN. CAILLES;;CR;800.00;;
GEN DEL PILAR;;RR;800.00;;
GEN LIM ST;;RR;800.00;;
GEN MALVAR;;RR;800.00;;
GEN RICARTE ST;;RR;800.00;;
LACUNA ST;;RR;800.00;;
M REYES ST;;CR;800.00;;
M REYES ST;;RR;800.00;;
MACABULOS ST;;RR;800.00;;
MOJICA ST;;RR;800.00;;
MOJICA ST;;;;;
MOJICA ST;;;;;
MOJICA ST;;;;;
MOJICA ST;;;;;
BARANGAY:;DASMARINAS VILLAGE;;;;
AMORSOLO ST;;RR;2,200.00;;
CALUMPANG;;RR;2,200.00;;
CALUMPANG;;CR;2,200.00;;
CARISSA ST;;RR;2,200.00;;
CYPRESS ST;;RR;2,200.00;;
DASMARINAS AVE;;RR;2,200.00;;
GLORIOSO;;RR;2,200.00;;
GRANADA ST;;RR;2,200.00;;
KALACHUCHI;;RR;2,200.00;;
KALAMANSI ST;;RR;2,200.00;;
KAMIAS ST;;RR;2,200.00;;
LUMBANG RD;;RR;2,200.00;;
MABOLO ST;;RR;2,200.00;;
MAHOGANY ST;;RR;2,200.00;;
PALM AVENUE;;RR;2,200.00;;
PARAISO AVE;;RR;2,200.00;;
PARAISO ST;;RR;2,200.00;;
SANTAN ST;;RR;2,200.00;;
SINEGUELAS ST;;RR;2,200.00;;
TAMARIND RD;;RR;2,200.00;;
TAMARIND RD;;;;;
TAMARIND RD;;;;;
TAMARIND RD;;;;;
TAMARIND RD;;;;;
BARANGAY:;LEGASPI VILLAGE;;;;
AGUIRRE ST;;CC;7,500.00;;
LEGASPI ST;;CC;7,500.00;;
PEREA ST;;CC;7,500.00;;
BARANGAY:;MAGALLANES VILLAGE;;;;
GALERIA DE MAGA;;RC;7,800.00;;
GARCIA VILLA;;RR;1,700.00;;
LAPU LAPU ST;;RR;1,700.00;;
LIMASAWA;;RR;1,700.00;;
MACTAN ST;;RR;1,700.00;;
MAGALLANES AVE;;RR;1,700.00;;
MAGDALENA CIRCL;;RR;1,700.00;;
MARGARITA ST;;RR;1,700.00;;
SAN ANTONIO;;RR;1,700.00;;
SAN FELIPE;;RR;1,700.00;;
SAN GERONIMO;;RR;1,700.00;;
SAN GREGORIO;;RR;1,700.00;;
VICTORIA ST;;RR;1,700.00;;
VICTORIA ST;;;;;
VICTORIA ST;;;;;
VICTORIA ST;;;;;
BARANGAY:;PALANAN;;;EXCEPTIONS:1.  APD - VALUE OF LAND UNDER APD IS P500 / S.Q. M.A.  N--ARELLANO STB.  E--OLIVARES STC.  S--CASINO STD.  W--BAUTISTA  ST;
ARELLANO ST;;RR;1,200.00;;
BATANGAS ST;;RR;1,200.00;;
BAUTISTA ST;;RR;1,200.00;;
BERMEO ST;;RR;1,200.00;;
CALATAGAN ST;;RR;1,200.00;;
CURIE CASINO;;RR;1,200.00;;
CURIE ST;;RR;1,200.00;;
DIESEL ST;;RR;1,200.00;;
DURANGO ST;;RR;1,200.00;;
ENRIQUE ST;;RR;1,200.00;;
FILMORE BUENDIA;;CR;1,200.00;;
FILMORE ST;;RR;1,200.00;;
IBARRA ST;;RR;1,200.00;;
NEGROS ST;;RR;1,200.00;;
BARANGAY:;PIO DEL PILAR;;;EXCEPTIONS:1.  APD - VALUE OF LAND UNDER APD IS P 500 / SQ. MA.  NE - LUMBAYAO STB.  SE - ST PAUL STC.  SW - MAYAPI STD.  NW - SAMPALOC ST;
ANTONIO ST;;RR;900.00;;
ARGUELLES ST;;RR;900.00;;
CALHOUN ST;;RR;900.00;;
FRANCISCO ST;;RR;900.00;;
JACINTO ST;;RR;900.00;;
M OCAMPO ST;;RR;900.00;;
M REYES ST;;RR;900.00;;
PASONG TAMO;;CR;2,400.00;;
PIO DEL PILAR;;RR;900.00;;
PIO DEL PILAR;;CR;2,400.00;;
RAMOS ST;;RR;900.00;;
SANTUICO ST;;RR;900.00;;
TAYLO ST;;CR;1,600.00;;
VICTOR ST.;;RR;900.00;;
WASHINGTON ST;;RR;900.00;;
WASHINGTON ST;;;;;
WASHINGTON ST;;;;;
WASHINGTON ST;;;;;
WASHINGTON ST;;;;;
WASHINGTON ST;;;;;
BARANGAY:;SAN ANTONIO VILLAGE;;;;
ANUBING ST;;RR;1,000.00;;
ARANGA ST;;RR;1,000.00;;
ARARO ST;;RR;1,000.00;;
BAGTICAN ST;;RR;1,000.00;;
BANUYO ST;;RR;1,000.00;;
CATMON ST;;RR;1,000.00;;
DAO ST;;RR;1,000.00;;
DUNGON ST;;RR;1,000.00;;
LAWAAN ST;;RR;1,000.00;;
YAKAL ST;;RR;1,000.00;;
BARANGAY:;SAN ISIDRO;;;EXCEPTIONS:1.  APD - VALUE OF LAND UNDER APD IS P 500 / SQ. M.A.  N - URUGUAY STB.  E - ARTHUR ST. TO BUAGINO PASSING THRU HONDURAS STC.  S - HARRISON STD.  W - BATANGAS ST;
BATANGAS ST;;RR;900.00;;
BUENDIA ST;;CR;1,300.00;;
MORSE ST;;RR;900.00;;
BARANGAY:;SAN LORENZO;;;;
AMORSOLO ST;;RR;1,600.00;;
APOSTOL ST;;RR;1,600.00;;
HIDALGO ST;;RR;1,600.00;;
JOAQUIN ST;;RR;1,600.00;;
MELANTIO ST;;RR;1,600.00;;
NAKPIL ST;;RR;1,600.00;;
PASAY ROAD;AMORSOLO DON BOSCO - EDSA;CR;3,000.00;;
PONCE ST;;RR;1,600.00;;
ROCHA ST;;RR;1,600.00;;
ZARAGOZA ST;;RR;1,600.00;;
ZULUETA CIRCLE;;RR;1,600.00;;
