RDO:;RDO NO. 80 - MANDAUE CITY, CEBU;;;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;250.00;;
BARANGAY ROAD;INTERIOR;CR;300.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;CATARMAN;;;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;250.00;;
BARANGAY ROAD;INTERIOR;CR;300.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY :;COGON;;;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;250.00;;
BARANGAY ROAD;INTERIOR;CR;200.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY :;DAPITAN;;;;
NATIONAL ROAD;;CR;600.00;;
NATIONAL ROAD;;RR;500.00;;
NATIONAL ROAD;;A;30.00;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;CR;250.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;DAY-AS;;;;
BARANGAY ROAD;;RR;400.00;;
BARANGAY ROAD;;CR;500.00;;
BARANGAY ROAD;INTERIOR;RR;250.00;;
BARANGAY ROAD;INTERIOR;CR;300.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;GABI;;;;
BARANGAY ROAD;;CR;600.00;;
BARANGAY ROAD;;RR;500.00;;
BARANGAY ROAD;;A;50.00;;
BARANGAY ROAD;INTERIOR;CR;250.00;;
BARANGAY ROAD;;RR;300.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;GILUTONGAN ISLAND;;;;
BARANGAY ROAD;BEACH LOTS;CR;500.00;;
BARANGAY ROAD;BEACH LOTS;RR;400.00;;
BARANGAY ROAD;BEACH LOTS;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;150.00;;
BARANGAY ROAD;;CR;200.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;IBABAO;;;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;CR;250.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;PILIPOG;;;;
NATIONAL ROAD;;CR;600.00;;
NATIONAL ROAD;;RR;500.00;;
NATIONAL ROAD;;A;30.00;;
BARANGAY ROAD;;CR;450.00;;
BARANGAY ROAD;;RR;400.00;;
BARANGAY ROAD;INTERIOR;CR;300.00;;
BARANGAY ROAD;;RR;250.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;BANG-BANG-PUSO;CR;700.00;;
NATIONAL ROAD;BANG-BANG-PUSO;RR;600.00;;
NATIONAL ROAD;BANG-BANG-PUSO;A;100.00;;
NATIONAL ROAD;INTERIOR;CR;500.00;;
NATIONAL ROAD;INTERIOR;RR;450.00;;
NATIONAL ROAD;PUSO-PUBLIC MARKET;CR;1,000.00;;
NATIONAL ROAD;PUSO-PUBLIC MARKET;RR;900.00;;
NATIONAL ROAD;INTERIOR;CR;725.00;;
NATIONAL ROAD;INTERIOR;RR;550.00;;
NATIONAL ROAD;PUBLIC MARKET-BANTAYAN;CR;700.00;;
NATIONAL ROAD;PUBLIC MARKET-BANTAYAN;RR;600.00;;
NATIONAL ROAD;INTERIOR;CR;500.00;;
NATIONAL ROAD;INTERIOR;RR;450.00;;
NATIONAL ROAD;CALAN;CR;600.00;;
NATIONAL ROAD;CALAN;RR;500.00;;
NATIONAL ROAD;CANLAN-INTERIOR;CR;350.00;;
NATIONAL ROAD;CANLAN-INTERIOR;RR;300.00;;
BARANGAY ROAD;CAMOLINAS;CR;600.00;;
BARANGAY ROAD;CAMOLINAS;RR;500.00;;
BARANGAY ROAD;CAMOLINAS-INTERIOR;CR;350.00;;
BARANGAY ROAD;CAMOLINAS-INTERIOR;RR;300.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;SAN MIGUEL;;;;
NATIONAL ROAD;;CR;600.00;;
NATIONAL ROAD;;RR;500.00;;
NATIONAL ROAD;;A;30.00;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;INTERIOR LOTS;CR;250.00;;
BARANGAY ROAD;INTERIOR LOTS;RR;200.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY :;CABADIANGAN;;;;
BARANGAY ROAD;;RR;50.00;;
BARANGAY ROAD;;A;35.00;;
BARANGAY ROAD;INTERIOR;A;25.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;CALERO;;;;
ALONG SEASHORE;;I;650.00;;
BARANGAY ROAD;;RR;350.00;;
BARANGAY ROAD;;I;425.00;;
BARANGAY ROAD;INTERIOR;RR;250.00;;
BARANGAY ROAD;INTERIOR;I;325.00;;
BARANGAY ROAD;INTERIOR;A;150.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;CATARMAN;;;;
PROVINCIAL ROAD;SILOT BR-BRGY TAYUD;RR;600.00;;
PROVINCIAL ROAD;SILOT BR-BRGY TAYUD;I;700.00;;
MUNICIPAL ROAD;ELEM.SCH-SEASHORE;RR;600.00;;
MUNICIPAL ROAD;ELEM.SCH-SEASHORE;I;700.00;;
COASTAL AREA TO TAYUD;;I;700.00;;
BARANGAY ROAD;;RR;400.00;;
BARANGAY ROAD;;A;300.00;;
BARANGAY ROAD;INTERIOR;RR;300.00;;
BARANGAY ROAD;INTERIOR;A;200.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY :;COTCOT;;;;
ALONG THE SEASHORE;;RR;375.00;;
ALONG THE SEASHORE;;RR;875.00;;
NATIONAL ROAD;;RR;375.00;;
BARANGAY ROAD;;A;350.00;;
BARANGAY ROAD;INTERIOR;RR;275.00;;
BARANGAY ROAD;INTERIOR;A;150.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;JUBAY;;;;
ALONG THE SEASHORE;;RR;750.00;;
NATIONAL ROAD;;RR;900.00;;
BARANGAY ROAD;;RR;750.00;;
BARANGAY ROAD;;A;350.00;;
BARANGAY ROAD;INTERIOR;RR;500.00;;
BARANGAY ROAD;INTERIOR;A;175.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;LATABAN;;;;
BARANGAY ROAD;;RR;225.00;;
BARANGAY ROAD;;A;175.00;;
BARANGAY ROAD;INTERIOR;RR;175.00;;
BARANGAY ROAD;INTERIOR;A;100.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;MULAO;;;;
BARANGAY ROAD;;RR;40.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;15.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;POBLACION;;;;
ALONG THE SEASHORE;;RR;1,500.00;;
NATIONAL ROAD;POBLACION-JUBAY BDRY;CR;1,750.00;;
NATIONAL ROAD;POBLACION-JUBAY BDRY;RR;1,450.00;;
NATIONAL ROAD;INTERIOR;RR;1,100.00;;
NATIONAL ROAD;INTERIOR;A;940.00;;
F. RAMAS ROAD-ZAMORA STREETS;;CR;1,500.00;;
F. RAMAS ROAD-ZAMORA STREETS;;RR;1,500.00;;
NATIONAL ROAD-ZAMORA STREET;;CR;1,500.00;;
NATIONAL ROAD-ZAMORA STREET;;RR;1,500.00;;
STO. NINO ST-SILOT BAY;;CR;1,400.00;;
STO. NINO ST-SILOT BAY;;RR;1,400.00;;
NATIONAL ROAD-CAMINO;;CR;1,400.00;;
NATIONAL ROAD-CAMINO;;RR;1,350.00;;
ALL OTHER STREETS;;CR;750.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;INTERIOR;RR;650.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;SAN ROQUE;;;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;;A;75.00;;
BARANGAY ROAD;INTERIOR;A;50.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;SAN VICENTE;;;;
PROVINCIAL/MUNICIPAL ROAD;;RR;575.00;;
PROVINCIAL/MUNICIPAL ROAD;;A;350.00;;
BARANGAY ROAD;;RR;350.00;;
BARANGAY ROAD;INTERIOR;A;175.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;SANTA CRUZ;;;;
BARANGAY ROAD;;RR;275.00;;
BARANGAY ROAD;;A;200.00;;
BARANGAY ROAD;INTERIOR;A;150.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;TABLA;;;;
BARANGAY ROAD;;RR;65.00;;
BARANGAY ROAD;;A;35.00;;
BARANGAY ROAD;INTERIOR;A;20.00;;
CITY/MUNICIPALITY:;LILOAN;;;;
BARANGAY:;TAYUD;;;;
ALONG THE SEASHORE;;RR;550.00;;
PROVINCIAL ROAD;CATARMAN-TAYUD (CONSO);CR;550.00;;
PROVINCIAL ROAD;CATARMAN-TAYUD (CONSO);I;550.00;;
PROVINCIAL ROAD;CATARMAN-TAYUD (CONSO);RR;425.00;;
BARANGAY ROAD;;RR;400.00;;
