RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
SITIO SAN NICOLAS;HILLY;A1;1.00;;
SITIO SAN NICOLAS;MOUNTAINOUS;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;SANTA ANA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO KABULIHAN;INTERIOR AREAS PROV'L RD;A1;1.05;;
SITIO NAPO;ALONG PROVINCIAL ROAD;RR;40.00;;
SITIO NAPO;INTERIOR AREAS 50 METERS;A1;1.25;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;SAYAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CABUCONGAN;ALONG PROVINCIAL ROAD;A;40.00;;
SITIO CABUCONGAN;INTERIOR AREAS 50 METERS;A1;1.25;;
SITIO CATUYOM;;A1;1.00;;
SITIO BAYNO;;A2;1.00;;
SITIO SAGINGAN;;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;TAL-OT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL ROAD;A;22.50;;
NATIONAL ROAD;INTERIOR AREAS 50 METERS;A1;1.60;;
NATIONAL ROAD;OTHER INTERIOR AREAS;A1;1.00;;
NATIONAL ROAD;HILLY;A2;1.00;;
NATIONAL ROAD;MOUNTAINOUS;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;TUBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL ROAD;A;40.00;;
NATIONAL ROAD;INTERIOR AREAS 50 METERS;A1;1.25;;
NATIONAL ROAD;OTHER INTERIOR AREAS;A1;1.00;;
NATIONAL ROAD;HILLY;A2;1.00;;
NATIONAL ROAD;MOUNTAINOUS;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;VITO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO GUWA;5KM FR MUN OF ALOGUINSAN;A1;1.00;;
SITIO SANDAYON;3KM FR MUN OF ALOGUINSAN;A1;1.10;;
SITIO KANSINAW;ALONG VITO BGY ROAD;A;1.75;;
SITIO TAGAYTAY;ALONG VITO BGY ROAD;A;1.75;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;ARBOR;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ARBOR PROPER;NAT'L RD-SITIO BACLAYAN;RR;18.00;;
SITIO CAN-ISI;HILLY AREA;A1;1.70;;
SITIO MAGDAGANG;BDRY BGY PO-ARBOR PROPER;RR;12.50;;
SITIO MANGUBAR;PLAIN AREA;A1;2.00;;
SITIO MANGUBAR;HILLY AREA;A1;1.60;;
SITIO MANGUBAR;MOUNTAIN AREA;A1;1.50;;
SITIO TUBOD;HILLY AREA;A1;1.50;;
SITIO TUBOD;MOUNTAIN AREA;A1;1.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;BACLAYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BACLAYAN PROPER;BGY ARBOR-BGY EL PARDO;RR;27.50;;
SITIO ALANGILAN;HILLY AREA;A1;1.50;;
SITIO ALANGILAN;MOUNTAIN AREA;A1;1.50;;
SITIO BACLAYAN GAMAY;ALONG NAT'L ROAD;RR;17.50;;
SITIO GABOG;PLAIN AREA;A;1.50;;
SITIO GABOG;HILLY AREA;A1;1.50;;
SITIO GABOG;MOUNTAIN AREA;A1;1.50;;
SITIO KALAWANGAN;HILLY AREA;A;2.00;;
SITIO KALAWANGAN;MOUNTAIN AREA;A1;1.50;;
SITIO KAMBALUNGOY;HILLY AREA;A1;1.50;;
SITIO KAMBALUNGOY;MOUNTAIN AREA;A1;1.50;;
SITIO TUNGO;PLAIN AREA;A;1.50;;
SITIO TUNGO;HILLY AREA;A1;1.50;;
SITIO TUNGO;MOUNTAIN AREA;A1;1.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;LOWER BECERRIL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAIPILIN;SCOPE AREA;A;2.00;;
SITIO CAMPRANCO;PLAIN AREA;A;2.00;;
SITIO CAMPRANCO;MOUNTAIN AREA;A1;1.50;;
SITIO CAMPRANCO;HILLY AREA;A1;1.50;;
SITIO CANSICOY;MOUNTAIN AREA;A1;1.50;;
SITIO DANAO;SCOPE AREA;A;2.00;;
SITO KALUMBOYAN;SCOPE AREA;A;2.00;;
SITIO KANAMNO;SCOPE AREA;A;2.00;;
SITIO KANDULOM;SCOPE AREA;A;2.00;;
SITIO KAN-IMBOK;MOUNTAIN AREA;A1;1.50;;
SITIO KAN-UWAK;SCOPE AREA;A;2.00;;
SITIO PACAMPANON;SCOPE AREA;A;2.00;;
SITIO SANGI;SCOPE AREA;A;2.00;;
SITIO SOLO;NAT'L RD-SITIO LUSAPON;RR;17.50;;
SITIO TILIM;MOUNTAIN AREA;A1;1.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;EL PARDO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
EL PARDO PROPER;SIT BACLAYAN GAMAY-TUBIGAN;RR;22.50;;
SITIO BANGA;PLAIN AREA;A;1.50;;
SITIO BANGA;HILLY AREA;A1;1.50;;
SITIO BANGA;MOUNTAIN AREA;A1;1.50;;
SITIO CALUMPANG;PLAIN AREA;A;1.50;;
SITIO CALUMPANG;HILLY AREA;A1;1.50;;
SITIO CAN-URING;PLAIN AREA;A;1.50;;
SITIO CAN-URING;HILLY AREA;A1;1.50;;
SITIO CAN-URING;MOUNTAIN AREA;A1;1.50;;
SITIO HAGDAN;PLAIN AREA;A;1.50;;
SITIO HAGDAN;HILLY AREA;A1;1.50;;
SITIO HAGDAN;MOUNTAIN AREA;A1;1.50;;
SITIO JUAN;PLAIN AREA;A;1.50;;
SITIO JUAN;HILLY AREA;A1;1.50;;
SITIO JUAN;MOUNTAIN AREA;A1;1.50;;
SITIO KANSANA;PLAIN AREA;A;1.50;;
SITIO KANSANA;HILLY AREA;A1;1.50;;
SITIO KANSANA;MOUNTAIN AREA;A1;1.50;;
SITIO TACLABAN;PLAIN AREA;A;1.50;;
SITIO TACLABAN;HILLY AREA;A1;1.50;;
SITIO TACLABAN;MOUNTAIN AREA;A1;1.50;;
SITIO TUBIGAN;TUBIGAN PROPER-BOLOS;RR;22.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;NORTH GRANADA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAMBULAK;ALONG NATIONA ROAD;RR;21.00;;
SITIO KANTIKI;HILLY AREA;A1;1.50;;
SITIO KAN-INAS;HILLY AREA;A1;1.50;;
SITIO PILI;NAT'L ROAD-SITIO MALOKO;A;2.00;;
SITIO TAMBUKON;PLAIN AREA;A;2.00;;
SITIO TUGNAO;MOUNTAIN AREA;A1;1.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;SOUTH GRANADA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAMBALAWAN;HILLY AREA;A1;1.50;;
SITIO CAMBALAWAN;MOUNTAIN AREA;A1;1.50;;
SITIO CAMBUANES;MOUNTAIN AREA;A1;1.50;;
SITIO JOLOMAYNON;HILLY AREA;A1;1.00;;
SITIO JOLOMAYNON;MOUNTAIN AREA;A1;1.50;;
SITIO KANDABONG;HILLY AREA;A1;1.00;;
SITIO KANDABONG;MOUNTAIN AREA;A1;1.50;;
SITIO MALOKO;ALONG NATIONAL ROAD;RR;21.00;;
SITIO TAPON;ALONG NATIONAL ROAD;RR;21.00;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;LUNOP;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
DALAYDAY;PLAIN AREA;A;2.00;;
LUNOP PROPER;PLAIN AREA;A;2.00;;
SITIO CABADIANGAN;PLAIN AREA;A;2.00;;
SITIO CANSALAMING;PLAIN AREA;A;2.00;;
SITIO KAMANAHAN;MOUNTAINA REA;A1;1.00;;
SITIO KANSUMAP-ANG;MOUNTAINA REA;A1;1.00;;
SITIO TALINIS;PLAIN AREA;A;2.00;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;NANGKA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CABUTONGAN;MOUNTAIN AREA;A1;1.50;;
JUAN TARGET;MOUNTAIN AREA;A1;1.00;;
MADANGLOG;MOUNTAIN AREA;A1;1.00;;
MALARID;MOUNTAIN AREA;A1;1.00;;
NANGKA PROPER;PLAIN AREA;A1;2.00;;
SAN ISIDRO;MOUNTAIN AREA;A1;1.50;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BERMEJO;NATIONAL RD-WASHINGTON ST;RR;60.00;;
GOMEZ;NATIONAL RD-MANGLANO ST;GL;0.00;;
MAGALLANES;NAT'L RD-RODRIGUEZ ST;RR;60.00;;
MANGLANO;MARIA CLARA-MCKINLEY;RR;60.00;;
MANGLANO;MCKINLEY-GOMEZ;RR;50.00;;
MARIA CLARA (SOUTH);NATIONAL RD-VILLAREAL ST;RR;50.00;;
(NORTH);NATIONAL RD-VILLAREAL ST;RR;60.00;;
MCKINLEY (SOUTH);NATIONAL RD-RODRIGUEZ;CR;70.00;;
(SOUTH);RODRIGUEZ-VILLAREAL;RR;60.00;;
(NORTH);NATIONAL RD-PATROCINIO;CR;70.00;;
(NORTH);PATROCINIO-MANGLANO;RR;60.00;;
NATIONAL ROAD;MARIA CLARA-SANPEDRO;RR;60.00;;
NATIONAL ROAD;SAN PEDRO-MAGALLANES;CR;70.00;;
NATIONAL ROAD;MAGALLANES-GOMEZ;RR;60.00;;
NATIONAL ROAD;GOMEZ-BERMEJO;GL;0.00;;
NATIONAL ROAD;BERMEJO-WASHINGTON;RR;60.00;;
NATIONAL ROAD;BGY LWR BECERIL-MCKINLEY;RR;60.00;;
NATIONAL ROAD;MCKINLEY-GOMEZ-SEASHORE;CR;70.00;;
NATIONAL ROAD;GOMEZ-WASHINGTON-SEASHORE;RR;60.00;;
PATROCINIO;MARIA CLARA-SAN PEDRO;RR;60.00;;
PATROCINIO;SAN PEDRO-MCKINLEY;CR;70.00;;
PATROCINIO;MCKINLEY-GOMEZ;RR;60.00;;
RODRIGUEZ;MARIA CLARA-GOMEZ;RR;60.00;;
SAN PEDRO (SOUTH);NATIONAL RD-VILLAREAL ST;RR;60.00;;
(NORTH);NATIONAL RD-RODRIGUEZ;CR;70.00;;
VALLARTA;BERMEJO-WASHINGTON;RR;60.00;;
VILLAREAL;MARIA CLARA-MCKINLEY;RR;50.00;;
WASHINGTON;BERMEJO-NATIONAL ROAD;RR;60.00;;
MUNICIPALITY:;BOLIJOON;;;;
BARANGAY:;SAN ANTONIO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO BALABAG;MOUNTAIN AREA;A1;1.00;;
SITIO CABDIANGAN;MOUNTAIN AREA;A1;1.00;;
SITIO CABULIAN;MOUNTAIN AREA;A1;1.00;;
SITIO KALOT & LAPAO;MOUNTAIN AREA;A1;1.00;;
SITIO KUANDALOG;PLAIN AREA;A;1.00;;
SITIO LAPAD BATO;MOUNTAIN AREA;A1;1.00;;
SITIO LINIPGA;MOUNTAIN AREA;A1;1.00;;
SITIO TABUNAN;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;FRONTING NATIONAL ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.10;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;BABAYONGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;BALUD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAG;RR;23.50;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;A;1.20;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.15;;
INTERIOR AREA;PLANTED TO CORN;A;1.10;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;BANHIGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;A;18.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.15;;
INTERIOR AREA;PLANTED TO CORN;A;1.10;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;BULAK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;1.15;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.05;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CALERIOHAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CALIONGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CASAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;23.50;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;20.00;;
INTERIOR AREA;PLAIN AREA;A;1.30;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CATOLOHAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.00;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CAWAYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;17.50;;
PROVINCIAL ROAD;ALONG PROVINCIAL ROAD;A;18.50;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;PLANTED TO CORN;A;1.05;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CONSOLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLAIN AREA;A;1.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;CORO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;18.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.05;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;DUGYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.10;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.00;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;DUMALAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;18.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;16.00;;
INTERIOR AREA;PLANTED TO VEGETABLE;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;JOLOMAYNON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;LANAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.00;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;LANGKAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;R;18.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.10;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;LUMBANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR AREA;PLANTED TO CORN/COCONUT;A;1.05;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;MALONES;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;ALONG PROVINCIAL ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCOCNUT;A;1.10;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;MALORAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;18.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;16.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;MANANGGAL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;16.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;MANLAPAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;MANTALONGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;22.50;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;20.00;;
INTERIOR AREA;PLANTED TO VEGETABLES;A;1.70;;
INTERIOR AREA;HILLY AREA;A1;1.60;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;NALHUB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;R;17.00;;
INTERIOR ROAD;PLANTED TO VEGETABLES;A;1.15;;
INTERIOR ROAD;PLANTED TO CORN/COCONUT;A1;1.00;;
INTERIOR ROAD;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;OBO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;19.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;1.20;;
INTERIOR AREA;HILLY AREA;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;OBONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;20.00;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;18.00;;
INTERIOR AREA;PLANTED TO CORN;A;1.20;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;PANAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;HILLY AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BAGONG BAYAN;ML QUEZON-SARMIENTO;CR;30.00;;
BURGOS;NATIONAL ROAD-SALVADOR;CR;35.00;;
BURGOS;SALVADOR-SELERIO;CR;35.00;;
GEN. LUNA;J RIZAL-GUILLERMO;RR;25.00;;
GEN. LUNA;GUILLERMO-MAGSAYSAY BLVD;CR;29.00;;
JOSE RIZAL;SAN ROQUE-SANDALO;RR;24.00;;
JOSE RIZAL;SANDALO-ULTIMO;RR;24.00;;
JOSE RIZAL;ULTIMO-SARMIENTO;RR;24.00;;
M L QUEZON;J RIZAL-NATIONAL ROAD;CR;35.00;;
M L QUEZON;NAT'L RD-BAGONG BAYAN;CR;30.00;;
MAGSAYSAY BLVD;SAN RQOUE-GEN LUNA;RR;24.00;;
MAGSAYSAY BLVD;GEN LUNA-ML QUEZON BLVD;CR;30.00;;
NATIONAL ROAD;SAN ROQUE-ML QUEZON;RR;29.00;;
NATIONAL ROAD;ALONG NOLI & FILI STS;RR;29.00;;
NATIONAL ROAD;BURGOS-SARMIENTO;RR;32.00;;
ROSARIO;NAT'L ROAD-SALVADOR;CR;30.00;;
SAN GUILLERMO;SAN ROQUE-ML QUEZON;RR;24.00;;
SAN GUILLERMO;ML QUEZON-BURGOS;CR;35.00;;
SAN ROQUE;J RIZAL-SAN GUILLERMO;RR;26.00;;
SAN ROQUE;SAN GUILLERMO-MAGSAYSAY;CR;32.00;;
SANDALO;TOBIAS-J RIZAL;RR;24.00;;
SANDALO;J RIZAL-SAN GUILLERMO;RR;27.00;;
SANDALO;SAN GUILLERMO-MAGSAYSAY;CR;29.00;;
INTERIOR AREA;BLOCK NOS. 1, 2, 3;CR;32.00;;
INTERIOR AREA;BLOCK NO. 4;CR;35.00;;
INTERIOR AREA;BLOCK NOS. 5, 6, 7, 8;CR;32.00;;
INTERIOR AREA;BLOCK NOS. 9, 10;RR;24.00;;
INTERIOR AREA;BLOCK NO. 11;RR;29.00;;
INTERIOR AREA;BLOCK NO. 12;CR;27.00;;
INTERIOR AREA;BLOCK NOS. 13, 14, 15, 16;RR;25.00;;
INTERIOR AREA;BLOCK NOS. 17, 18, 19;RR;24.00;;
INTERIOR AREA;BLOCK NO. 20;CR;26.00;;
INTERIOR AREA;BLOCK NOS. 21, 22;CR;32.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;SACSAC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;ALONG NATIONAL HIWAY;RR;19.50;;
BARANGAY ROAD;FRONTING BARANGAY ROAD;RR;17.00;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.10;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
BARANGAY:;SALUG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR AREA;PLANTED TO COCONUT;A;1.05;;
INTERIOR AREA;PLANTED TO CORN;A;1.00;;
INTERIOR AREA;MOUNTAIN AREA;A1;1.00;;
MUNICIPALITY:;DALAGUETE;;;;
