RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
SUYCO;CUENCO-BDRY CROSS ZAMORA;RR;10.00;;
VERONICA;MJ CUENCO-ZAMORA;RR;10.00;;
ZAMORA;BDRY-50M W/IN FROM RD;RR;10.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LANGUB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL/BARANGAY ROADS;;R;5.50;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LANGTAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;32.50;;
PLAIN AREA;;A;22.00;;
PLAIN AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LAPAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.50;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.00;;
ROLLING AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LINGIGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY & PROVINCIAL ROAD;;RR;5.50;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LINUT-OD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.00;;
BARANGAY ROAD;;;;;
BARANGAY ROAD;;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;MABASA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;6.50;;
PLAIN AREA;;A;6.50;;
ROCKY AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;MANDILIKIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;600.00;;
PLAIN AREA;;A;1.50;;
HILLY AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;MOMPELLER;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL/MUNICIPAL ROAD;;RR;5.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;PANADTARAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;6.50;;
ROLLING AREA;;A1;1.50;;
ALCARRACIN;SHORELINE-CANBANUA BDRY;RR;130.00;;
ANTONIO MINOZA;SHORELINE-J. ALCAZAREN;RR;130.00;;
ARELLANO;SHORELINE-NATIONAL HI-WAY;RR;125.00;;
A. LUNA;ABEAR-ALCARRASIN EX SMP;RR;125.00;;
COL. ORTEGA;PIER-A. LUNA;RR;130.00;;
CONSOLACION;ABEAR-ALCARRASIN EX SMP;RR;125.00;;
DEL PILAR;DR. TS KINTANAR-ARGAO RIV;RR;125.00;;
DR. T. S.KINTANAR;NAT'L HIWAY-MJ CUENCO;RR;130.00;;
DR. T. S.KINTANAR;SHORELINE-LUCERO-RIZAL-NATL HIWAY;RR;125.00;;
GEN. JUAN LUNA;GEN J. LUNA-BOUNDARY;CR;130.00;;
JOSE RIZAL;TS KINTANAR-LAPU-LAPU;CR;133.00;;
JOSE RIZAL;ROOSEVELT-ARELLANO;RR;35.00;;
JOSE RIZAL;ARELLANO-TS KINTANAR;RR;53.00;;
J. ALCAZAREN;A MINOZA-NATL HIWAY-RIVE;RR;53.00;;
LAKANDULA;DR. TS KINTANAR-ARGAO RIV;RR;125.00;;
LAPU-LAPU;SHORELINE-J. ALCAZAREN;RR;130.00;;
LUCERO;LUCERO-TS KINTANAR;RR;53.00;;
M J CUENCO;BDRY-SAN MIGUEL STREET;CR;110.00;;
M J CUENCO;PUBLIC MARKET SITE;GL;0.00;;
M J CUENCO;SAN MIGUEL ST-RIVER BANK;RR;110.00;;
M ABEAR;SHORELINE-NATIONAL HIWAY;RR;130.00;;
NATIONAL HIGHWAY;TULIC POB BDRY-ARGAO CEN;A;33.00;;
