HILLCREST CONDO;233 JUAN LUNA ST;RC;17,000.00;;
KB BINONDO TOWER;T PINPIN, BINONDO;RC;21,000.00;;
KNOTS REALTY DEV;AGUILAR;RC;17,000.00;;
LE MAR BEN CLASSIC;F. TORRES, STA. CRUZ;RC;17,000.00;;
MANTEL ENTERP INC;1125 SOLER ST;RC;17,000.00;;
PLAZA MORAGA MANSION;PLAZA MORAGA;RC;21,000.00;;
PRESTIGE TOWER CONDO;ONGPIN ST., STA. CRUZ;RC;17,000.00;;
RAY BURTON;8738 P DE ROXAS;RC;21,000.00;;
REGINA I;REINA REGENTE;RC;17,000.00;;
REGINA II;REINA REGENTE;RC;17,000.00;;
REGINA GARDEN II;ESCOLTA, BINONDO;RC;21,000.00;;
RICHTOWN;;RC;17,000.00;;
S T  CONDOMINIUM;;RC;17,000.00;;
SOLER CITIRISE BLDG;SOLER ST., STA. CRUZ;RC;17,000.00;;
SOLER TOWER CONDO;SOLER;RC;17,000.00;;
STA ELENA CONDO;676 STA ELENA ST;RC;17,000.00;;
STANDARD REALTY CORP;ALVARADO ST;RC;17,000.00;;
STATE INVEST CONDO;233 JUAN LUNA;RC;25,000.00;;
TYTANA CONDOMINIUM;PLAZA L RUIZ;RC;25,000.00;;
YUCHENGCO TOWER;500 C PAREDES;RC;25,000.00;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
YUCHENGCO TOWER;500 C PAREDES;;;;
