RDO:;RDO NO. 13-TUGUEGARAO, CAGAYAN;;;
CARITAN SUR;TIP OF PROV'L. LIBRARY BNDRY OF CARITAN CENTRO;RR;1,000.00;
CARITAN SUR;OTHER BARANGAY ROADS;RR;540.00;
CARITAN SUR;INTERIOR LOTS;RR;440.00;
CATAGGAMAN NUEVO;ST LOUIS SUBDIVISION SHARON VILLAGE;RR;400.00;
CATAGGAMAN NUEVO;OTHER BARANGAY ROADS;RR;250.00;
CATAGGAMAN NUEVO;INTERIOR LOTS;RR;120.00;
CATAGGAMAN PARDO;ALL BARANGAY ROADS;RR;120.00;
CATAGGAMAN PARDO;INTERIOR LOTS;RR;100.00;
CATAGGAMAN PARDO;INTERIOR LOTS;GP;20.00;
CATAGGAMAN PARDO;INTERIOR LOTS;A;4.00;
CATAGGAMAN VIEJO;ALL BRGY ROADS;RR;120.00;
CATAGGAMAN VIEJO;INTERIOR LOTS;RR;100.00;
CATAGGAMAN VIEJO;INTERIOR LOTS;GP;20.00;
CATAGGAMAN VIEJO;INTERIOR LOTS;A;4.00;
DADDA;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;70.00;
DADDA;INTERIOR LOTS;RR;55.00;
DADDA;INTERIOR LOTS;A2;3.00;
GOSI NORTE;MAHARLIKA H-WAY & OTHER   BARANGAY ROADS;RR;80.00;
GOSI NORTE;INTERIOR LOTS;RR;60.00;
GOSI NORTE;INTERIOR LOTS;A1;11.00;
GOSI NORTE;INTERIOR LOTS;A2;6.00;
GOSI SUR;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;70.00;
GOSI SUR;INTERIOR LOTS;RR;55.00;
GOSI SUR;INTERIOR LOTS;A1;11.00;
GOSI SUR;INTERIOR LOTS;A2;6.00;
LARION ALTO;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;80.00;
LARION ALTO;INTERIOR LOTS;RR;70.00;
LARION ALTO;INTERIOR LOTS;A2;4.00;
LARION BAJO;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;70.00;
LARION BAJO;INTERIOR LOTS;RR;60.00;
LARION BAJO;INTERIOR LOTS;A2;4.00;
LEONARDA;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;250.00;
LEONARDA;MERCEDES VILLAGE;RR;300.00;
LEONARDA;INTERIOR LOTS;RR;230.00;
LEONARDA;INTERIOR LOTS;GP;150.00;
LEONARDA;INTERIOR LOTS;A;6.00;
LIBAG NORTE;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;70.00;
LIBAG NORTE;INTERIOR LOTS;RR;55.00;
LIBAG NORTE;INTERIOR LOTS;A2;6.00;
LIBAG SUR;MAHARLIKA H-WAY & OTHER  BARANGAY ROADS;RR;70.00;
LIBAG SUR;INTERIOR LOTS;RR;55.00;
LIBAG SUR;INTERIOR LOTS;A2;6.00;
LINAO EAST;PROVINCIAL ROAD & OTHER   BARANGAY ROADS;RR;90.00;
LINAO EAST;INTERIOR LOTS;RR;80.00;
LINAO EAST;INTERIOR LOTS;A2;6.00;
LINAO NORTE;PROVINCIAL ROAD & OTHER  BARANGAY ROADS;RR;70.00;
LINAO NORTE;INTERIOR LOTS;RR;55.00;
LINAO NORTE;INTERIOR LOTS;A2;7.00;
LINAO WEST;PROVINCIAL ROAD & OTHER BARANGAY ROADS;RR;70.00;
LINAO WEST;INTERIOR LOTS;RR;55.00;
LINAO WEST;INTERIOR LOTS;A2;4.00;
NAMABBALAN NORTE;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;80.00;
NAMABBALAN NORTE;INTERIOR LOTS;RR;60.00;
NAMABBALAN NORTE;INTERIOR LOTS;A1;10.00;
NAMABBALAN NORTE;INTERIOR LOTS;A2;6.00;
NAMABBALAN SUR;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;80.00;
NAMABBALAN SUR;INTERIOR LOTS;RR;60.00;
NAMABBALAN SUR;INTERIOR LOTS;A1;10.00;
NAMABBALAN SUR;INTERIOR LOTS;A2;6.00;
PALLUA NORTE;BARANGAY ROADS;RR;150.00;
PALLUA NORTE;INTERIOR LOTS;RR;130.00;
PALLUA NORTE;INTERIOR LOTS;GP;50.00;
PALLUA NORTE;INTERIOR LOTS;A2;17.00;
PALLUA SUR;UGAC - PALLUA ROAD;RR;250.00;
PALLUA SUR;RG SUBDIVISION;RR;300.00;
PALLUA SUR;OTHER BARANGAY ROADS;RR;150.00;
PALLUA SUR;INTERIOR LOTS;RR;130.00;
PALLUA SUR;INTERIOR LOTS;GP;50.00;
PALLUA SUR;INTERIOR LOTS;A2;17.00;
PENGUE;MAHARLIKA H-WAY & ALL SUBDIVISIONS;RR;300.00;
PENGUE;OTHER BARANGAY ROADS;RR;250.00;
PENGUE;INTERIOR LOTS;RR;200.00;
PENGUE;INTERIOR LOTS;GP;50.00;
PENGUE;INTERIOR LOTS;A;12.00;
REYES;ALONG MAHARLIKA H-WAY & OTHER SUBDIVISION;RR;260.00;
REYES;OTHER BARANGAY ROADS;RR;200.00;
REYES;INTERIOR LOTS;RR;180.00;
REYES;INTERIOR LOTS;GP;80.00;
REYES;INTERIOR LOTS;A2;16.00;
SAN GABRIEL VILLAGE;DIVERSION ROAD;RR;320.00;
SAN GABRIEL VILLAGE;MAIN AVE - STO NINO SHRINE;RR;320.00;
SAN GABRIEL VILLAGE;RG VILLAGE & OTHER BARANGAY ROADS;RR;260.00;
SAN GABRIEL VILLAGE;INTERIOR LOTS;RR;220.00;
SAN GABRIEL VILLAGE;INTERIOR LOTS;GP;80.00;
SAN GABRIEL VILLAGE;INTERIOR LOTS;A;19.00;
TAGGA;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;70.00;
TAGGA;INTERIOR LOTS;RR;55.00;
TAGGA;INTERIOR LOTS;A;4.00;
TANZA;MAHARLIKA H-WAY & OTHER BARANGAY ROADS;RR;250.00;
TANZA;PANACAL VILLAGE;RR;300.00;
TANZA;INTERIOR LOTS;RR;200.00;
TANZA;INTERIOR LOTS;GP;100.00;
TANZA;INTERIOR LOTS;A;30.00;
UGAC NORTE (LUNA EXT.);cor MABINI ST - BASSIG ST;CR;3,400.00;
UGAC NORTE (LUNA EXT.);COLLEGE AVE - LUNA ST;CR;5,400.00;
UGAC NORTE (LUNA EXT.);MAHARLIKA HIWAY & GONZAGA EXT;RR;780.00;
(MABINI ST.);ALL BARANGAY ROADS & INTERIOR LOTS;RR;360.00;
(MABINI ST.);ALL BARANGAY ROADS & INTERIOR LOTS;GP;100.00;
(MABINI ST.);ALL BARANGAY ROADS & INTERIOR LOTS;A;40.00;
UGAC SUR (LUNA EXT.);cor MABINI ST - BASSIG ST;CR;500.00;
(MABINI ST.);LUNA ST - ARELLANO ST.;RR;500.00;
(MABINI ST.);LECAROS EXT.;RR;700.00;
(MABINI ST.);ARELLANO EXT - BASSIG ST;RR;700.00;
(MABINI ST.);OTHER BARANGAY ROADS;RR;500.00;
(MABINI ST.);INTERIOR LOTS;RR;400.00;
(MABINI ST.);INTERIOR LOTS;GP;100.00;
(MABINI ST.);INTERIOR LOTS;A;40.00;
